design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
eight_rare,0.0,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,48,0,0,0.4497331329450881,0.009447421339415188,-0.45921265444966386,1.0,0.0,34816
eight_rare,0.0,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,43,0,0,0.1673978551275465,0.018894842678830376,-0.18635882731321085,1.0,0.0,30976
eight_rare,0.0,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,48,0,0,0.1673978551275465,0.009447421339415188,-0.1768773766321223,1.0,0.0,50176
eight_rare,0.25,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,978,0,0,0.31811975759072025,0.02472847473600534,-0.325081870031438,1.0,0.013655102040816327,7456
eight_rare,0.25,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,984,0,0,0.31811975759072025,0.01236423736800267,-0.31271162348628295,1.0,0.013655102040816327,26656
eight_rare,0.25,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,978,0,0,0.2566182126546289,0.02472847473600534,-0.2635803250953467,1.0,0.013655102040816327,22816
eight_rare,0.25,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,984,0,0,0.2566182126546289,0.01236423736800267,-0.25121007855019156,1.0,0.013655102040816327,42016
eight_rare,0.25,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.483456388156155,0.02152774537085849,-0.4911281667202763,1.0,0.013655102040816327,7936
eight_rare,0.25,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.483456388156155,0.010763872685429245,-0.480349562025669,1.0,0.013655102040816327,27136
eight_rare,0.25,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.24116104896557272,0.02152774537085849,-0.248832827529694,1.0,0.013655102040816327,23296
eight_rare,0.25,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.24116104896557272,0.010763872685429245,-0.23805422283508673,1.0,0.013655102040816327,42496
eight_rare,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.4516109389117473,0.01891757155969253,-0.45687665217853896,1.0,0.013655102040816327,15616
eight_rare,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.4516109389117473,0.009458785779846265,-0.44740569187168844,1.0,0.013655102040816327,34816
eight_rare,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.16956548206139854,0.01891757155969253,-0.17483119532819022,1.0,0.013655102040816327,30976
