regime,alternative,replication,seed,sample_sha256,fold_sha256
linear,null,133,620261038,e98c4725a71df1f9e68d82ffced556b799bd48aaafdc82a157d8cefecefd7f57,df4a0ec73d4b0b06057eba4c8c7b583724fb1974c99abbab7e332c30ed9944b7
linear,null,134,620261039,261f4cb3447c58ce3d9e033c77d490b6cdd8551a9831e9cc0b23ed3cb8c25af4,65afb50c65ca73101b324367e9431902506c511e42c8192e4535fd527e8ba84b
linear,null,135,620261040,9a46c06fe251394f31e001928ac4ee34233ebe04c488b97dab342ff924b67aa3,831a2f78fd1f2bb39909d9ccbfaf677d6a1548981c94d4f7758a6222eaabddb6
linear,null,136,620261041,2a8db060f1e692974cc50eda18b9a611af613085d0d15c28abdd53de12a608b9,c932601662687a026afdc0f3a1a96fcd851be6769c190ca78a471b4f845817ab
linear,null,137,620261042,bd03309e5ed8767c80f72d9fb7a655a86116283b36bc7e0f3b3b1e9a57c69006,470c1a8ffb4fde328327ea6b411d5db90f009b96b44e8915a50ffba1f45a9f8e
linear,null,138,620261043,16353abee42ef42fd1e69fa07eb959dea861dc33019553e37eedb206fc0175ce,0abbb5aed5ae0de5e0e1ccc2588eae52ab87dc31e807feb8094bbad29a4072ba
linear,null,139,620261044,ce4ae52a2dc5a2a4f7e7143653fbd4742ae856c19bd9f1ea6646b5fd794cf6c8,998ba811b5bf46244ada41aea21d2e1fb07255438a4a7d37cede56820705402b
linear,null,140,620261045,1d0e30698d6f5b13fa86406cfb2e3cb5c6996546e4f51a40dadfdc45a6fa6e84,3fb03afd2389686f46e97a7f133f65e9d1d74178229ec4666de6c9e385613054
linear,null,141,620261046,c3c947e2f9f838bfe80c0e6d74a1058c3d72cbad84d1df8a2e5b7bb71bcd704e,d59ccd577bfab9f71e6b555994ce791c8c16c3588ed39d658ee82e0957a40e57
linear,null,142,620261047,fba3770cc0d2894b61a866d0b21f5a3adbf8a686d5653840431b13065522dab8,7045724f019410391de2e31be611d4caae681651ff9e0019eaad231de1bb9ca3
linear,null,143,620261048,3d22c2c6cd71ddc950d8321c25ea3497b154760b8aa52fa63dd532820d09ee3e,8db1bc360518565e70373401bac160c2f3fb67eb2956e5803c45e669d75a83a2
