condition,entities,clusters,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_score,empirical_score_sd,mean_reported_se,mean_statistic,sd_statistic
gaussian_alternative,128,25,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025939326176639976,0.0008711115626277648,0.0008833021294271944,29.986526192081996,4.480495930319563
gaussian_alternative,128,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025290379033755375,0.0004483970304057871,,,
gaussian_alternative,128,100,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025290379033755375,0.0004483970304057871,0.0004437727549299768,57.24853941534863,3.9047276652926657
gaussian_alternative,128,100,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025936962968391496,0.00044883570989640253,0.0004444764348893382,58.6199124181235,4.000897476813758
gaussian_alternative,128,400,distinct_reference_finite,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025282149688065594,0.00023093507626640084,,,
gaussian_alternative,128,400,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025282149688065594,0.00023093507626640084,0.00022203920493845314,113.99676299639117,3.9929074287163884
gaussian_alternative,128,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025928605296450934,0.00023142202109012168,0.00022237988440337864,116.73243309888198,4.083885844521732
gaussian_null,8,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.00031031136837382,0.004683332828472521,,,
gaussian_null,8,25,distinct_reference_normal,300,14,0.04666666666666667,0.027998933682334012,0.07679736022792105,-0.00031031136837382,0.004683332828472521,0.0044474101147006055,-0.11056002592067564,1.0728746909821107
gaussian_null,8,25,naive_normal,300,99,0.33,0.2792344636154957,0.3850641466008499,0.005801480014846128,0.0053436587538605385,0.005089951746457612,1.1575064822876835,1.064634121236605
gaussian_null,8,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,4.885625253034796e-05,0.002215469789605695,,,
gaussian_null,8,100,distinct_reference_normal,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,4.885625253034796e-05,0.002215469789605695,0.0022409062134353705,0.011583728742022448,0.9996829818588274
