regime,metric,seed,N,T,beta_hat,fixed_statistic,adaptive_statistic,fixed_reject,adaptive_reject,fixed_mean,adaptive_mean,fixed_se,adaptive_se,fixed_weight_norm_squared,adaptive_weight_norm_squared,spectrum_means
smooth,typeI,534,120,100,1.0946384739356676,-1.0056318560568147,-0.9419612112307132,0,0,-0.004226232435549197,-0.003957906268369715,0.0042025641989114045,0.004201772027532363,1.0507812500000016,0.9158689908020686,"[0.002485322045788907, -0.0011370261368711422, -0.0010712581280600882, -0.0019481523455585083, -0.002456695732748615]"
smooth,typeI,535,120,100,1.2354219620806361,-1.7078205064336727,-1.6083339063998354,0,0,-0.007471859966640193,-0.007017057426476844,0.004375085050502864,0.004362935705424583,1.0507812500000016,0.7698293046801891,"[-0.002257792788319626, -0.004697895406833855, -0.00535546453513155, -0.006150975934861506, -0.005606615726305552]"
smooth,typeI,536,120,100,1.5140790711048915,-0.6234484677338598,-0.4506198544419937,0,0,-0.0027594405696791126,-0.0019875250669556554,0.004426092471939595,0.00441064690639702,1.0507812500000016,0.5919926990134191,"[0.002092386177962088, -0.0005999450437051936, 2.735691553275003e-06, -0.0016207641530829177, -0.0012696091832121266]"
smooth,typeI,537,120,100,0.8151336704428548,0.6646411371764609,0.5194147624678828,0,0,0.002651632800269095,0.002076151219122213,0.003989570690032524,0.003997097058346678,1.0507812500000016,1.463507832290472,"[0.00827551700864128, 0.005403104633209531, 0.005105273139014704, 0.003938597209011816, 0.0047101819017389395]"
smooth,typeI,538,120,100,1.5321356635161265,0.9346258724241597,1.1110210901103164,0,0,0.0040667723228638595,0.004808827170712751,0.004351230201145386,0.004328295127354664,1.0507812500000016,0.5837073914382149,"[0.008708003701793173, 0.006375782743956478, 0.0059946039794363335, 0.005741188888193515, 0.005311597122580009]"
smooth,typeI,539,120,100,2.0,0.11909248364072857,0.34482373425427154,0,0,0.0005356249362914427,0.0015346429917837763,0.004497554504844197,0.004450514391367668,1.0507812500000016,0.4413481422186647,"[0.004968859413373563, 0.0031905448156090235, 0.001708342368314973, 0.002005769735698171, 0.002094880253941153]"
smooth,typeI,540,120,100,1.3635277733748272,1.1335964555690543,1.2253774022401795,0,0,0.004739828164138004,0.005116290987582196,0.004181230578882373,0.004175277737478121,1.0507812500000016,0.6744688386228583,"[0.008165197216602646, 0.0063258077562437145, 0.0057559311544043154, 0.00560500538379994, 0.006130530401196131]"
smooth,typeI,541,120,100,0.5996044066706484,0.6275028076448332,0.23600030327723792,0,0,0.00321019158872672,0.001212627222154712,0.005115820279394971,0.005138244338314241,1.0507812500000016,2.5100495727374565,"[0.008694053628284182, 0.007050313999613264, 0.005994368447485422, 0.005269098221994257, 0.004371974537196388]"
smooth,typeI,542,120,100,2.0,0.5325818987249386,0.9001284280065797,0,0,0.0021142645985536145,0.0035579596153109327,0.0039698393873607105,0.0039527244164373,1.0507812500000016,0.4413481422186647,"[0.008412545791188782, 0.004912762403423834, 0.005388036541881799, 0.003823056455751837, 0.003992775951658672]"
smooth,typeI,543,120,100,2.0,-1.1135698537945824,-0.8331990140308019,0,0,-0.005593528389688032,-0.004139407517967113,0.005023060179500743,0.004968089793987785,1.0507812500000016,0.4413481422186647,"[0.0009110150477718665, -0.002742022437468078, -0.0026032322353800527, -0.0035583198554407875, -0.0037071466799905835]"
