suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
generalization,ours,smooth,0.15,power,0.95,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
generalization,ours,nonlinear,0.0,typeI,0.95,120,100,21,150,0.14,0.09342648818551796,0.20455208775949718
generalization,ours,nonlinear,0.15,power,0.95,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
generalization,ours,large_n,0.0,typeI,0.95,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
generalization,ours,large_n,0.15,power,0.95,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,ours,heavy_tail,0.0,typeI,0.95,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
generalization,ours,heavy_tail,0.15,power,0.95,120,100,144,150,0.96,0.915486535783444,0.9815408393979256
generalization,GCM coarse,smooth,0.0,typeI,0.5,120,100,48,150,0.32,0.25064529057637863,0.3983439973961289
generalization,GCM coarse,smooth,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.0,typeI,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,large_n,0.0,typeI,0.5,160,160,32,80,0.4,0.2996182759587093,0.509545349948396
generalization,GCM coarse,large_n,0.15,power,0.5,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM coarse,heavy_tail,0.0,typeI,0.5,120,100,41,150,0.2733333333333333,0.20834143203423522,0.34964507874595946
generalization,GCM coarse,heavy_tail,0.15,power,0.5,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,GCM coarse,smooth,0.0,typeI,0.65,120,100,65,150,0.43333333333333335,0.35667590320996057,0.5133201293724496
generalization,GCM coarse,smooth,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.0,typeI,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,large_n,0.0,typeI,0.65,160,160,40,80,0.5,0.3929741508611972,0.6070258491388028
generalization,GCM coarse,large_n,0.15,power,0.65,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM coarse,heavy_tail,0.0,typeI,0.65,120,100,55,150,0.36666666666666664,0.2937744456533283,0.44621761951149214
generalization,GCM coarse,heavy_tail,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,smooth,0.0,typeI,0.8,120,100,85,150,0.5666666666666667,0.4866798706275503,0.6433240967900394
generalization,GCM coarse,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.0,typeI,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
