setting,regime,metric,seed,N,T,reject,statistic,product_mean,cluster_se
deployed,smooth,typeI,70736,120,100,0,1.0767990239864211,0.004943835536599679,0.004591233300246771
deployed,smooth,typeI,70737,120,100,0,1.1334475488256943,0.005186225047165405,0.004575619800438566
deployed,smooth,typeI,70738,120,100,1,2.129328423160546,0.009454097679669699,0.0044399434003877395
deployed,smooth,typeI,70739,120,100,0,0.14346275384179497,0.0006316796425459241,0.00440309157345826
deployed,smooth,typeI,70740,120,100,0,0.9090516682281575,0.003970965588686,0.004368250702873525
deployed,smooth,typeI,70741,120,100,0,0.8292331127385119,0.003456600812879847,0.004168430758227381
deployed,smooth,typeI,70742,120,100,0,0.6318263457273162,0.002470577323806672,0.003910215742844196
deployed,smooth,typeI,70743,120,100,0,0.45935349333321973,0.0020537734809240637,0.004471008734517743
deployed,smooth,typeI,70744,120,100,0,0.8843109533569804,0.0036182010151442835,0.004091548342140324
deployed,smooth,typeI,70745,120,100,0,0.026868107166861693,0.00012789046568494793,0.0047599358187272725
deployed,smooth,typeI,70746,120,100,0,-0.4311304210439799,-0.0019388782481452242,0.0044971965639776495
deployed,smooth,typeI,70747,120,100,0,1.338927921069043,0.005045646720034758,0.0037684229603682853
deployed,smooth,typeI,70748,120,100,1,3.6674660059913773,0.015575844331981984,0.004247031685238912
deployed,smooth,typeI,70749,120,100,0,0.34394362876553103,0.001471709096929737,0.004278925305905323
deployed,smooth,typeI,70750,120,100,0,-0.70253075055793,-0.003176797346908844,0.004521933515915027
deployed,smooth,typeI,70751,120,100,0,-1.0257772060028092,-0.00450800860034384,0.0043947248719928104
deployed,smooth,typeI,70752,120,100,0,-0.21032390352254415,-0.0008901832428261259,0.004232439717584021
deployed,smooth,typeI,70753,120,100,0,-0.8129263121568888,-0.003520172440462404,0.004330247880798126
deployed,smooth,typeI,70754,120,100,0,0.5938864872044524,0.0024131361407373603,0.004063295247037014
deployed,smooth,typeI,70755,120,100,0,0.0930560176944691,0.00036612341885158893,0.003934441081002222
deployed,smooth,typeI,70756,120,100,0,0.4670475896497584,0.0017441726994715993,0.0037344646201462337
deployed,smooth,typeI,70757,120,100,0,1.2074619295978224,0.005019330474764455,0.004156926484991768
deployed,smooth,typeI,70758,120,100,0,1.0052677925768962,0.004441906815595555,0.004418630387241595
deployed,smooth,typeI,70759,120,100,1,2.5416520639159024,0.01074770659383238,0.004228630167920575
deployed,smooth,typeI,70760,120,100,0,-0.6394110523197384,-0.002666295469284329,0.0041699239630143955
deployed,smooth,typeI,70761,120,100,1,2.1019639119971774,0.008800289379753619,0.004186698605777697
deployed,smooth,typeI,70762,120,100,0,-0.13369981731841465,-0.00059548847530923,0.004453921383385559
deployed,smooth,typeI,70763,120,100,0,0.6812295648163876,0.0026238694943272307,0.0038516670882222264
deployed,smooth,typeI,70764,120,100,1,2.328166931877824,0.011109986756403708,0.004771988900058274
deployed,smooth,typeI,70765,120,100,0,0.9156477286352124,0.003851648453691502,0.004206474098322119
deployed,smooth,typeI,70766,120,100,0,0.21248233270913472,0.0008714543326814288,0.004101302548642268
deployed,smooth,typeI,70767,120,100,0,1.1166293243708458,0.004514560775729798,0.0040430254491780285
deployed,smooth,typeI,70768,120,100,0,0.9754953812433633,0.0043661639600440375,0.004475842781007264
deployed,smooth,typeI,70769,120,100,0,-0.49518657558306267,-0.002352984899832686,0.0047517138304125845
deployed,smooth,typeI,70770,120,100,1,2.035489425132153,0.009236791464523404,0.004537872489277957
deployed,smooth,typeI,70771,120,100,0,-0.45548978310351773,-0.0018833136438712141,0.004134700082708988
