method,mean,radius,lower,p,bias,variance,width,exact_target,query_calls,distinct_labels,archive_rows,delta,task,baseline,candidate,weight,five_gate_seconds,p_by
reference_u,1.701784889833053e-06,0.0046904178125358872,-0.041190327441194684,1,0.036501611413548629,0.0020541774858853345,1.3143233142108444,0,32768,336,336,0.00022996057818659661,appliances,seasonal_day,category_copy,0.050000000000000003,0.060583896934986115,1
reference_betting,0.00085080515618094789,,,1,0.036501611413548629,0.0020541774858853345,1.3143233142108444,0,32768,336,336,0.00022996057818659661,appliances,seasonal_day,category_copy,0.050000000000000003,0.060584690421819687,1
known_forecast_u,0,0,0,1,0,0,0,0,32768,336,336,0,appliances,seasonal_day,category_copy,0.050000000000000003,0.060585062950849533,1
known_forecast_pairs,0,0,0,1,0,0,0,0,32768,336,336,0,appliances,seasonal_day,category_copy,0.050000000000000003,0.060585401952266693,1
loss_gain,0.00039837978781952704,0.00063123131866685018,-0.00023285153084732314,0.21710480767412288,0,4.9774520743905917e-05,2,0.00037575529386669896,32768,336,336,0,appliances,seasonal_day,category_copy,0.050000000000000003,0.060585755854845047,0.67435411689798985
reference_u,0.0013221414796053957,0.0055220074745475564,-0.043410298314987016,1,0.039210432320044855,0.00525405478943457,1.1613495007148291,0.0019796569018352499,32768,336,336,0.00022996057818659661,appliances,seasonal_day,independent_noise,0.14999999999999999,0.068163052201271057,1
reference_betting,0.00084333110406786165,,,1,0.039210432320044855,0.00525405478943457,1.1613495007148291,0.0019796569018352499,32768,336,336,0.00022996057818659661,appliances,seasonal_day,independent_noise,0.14999999999999999,0.068163778632879257,1
known_forecast_u,0.0018274581435049134,0.0023263018834507889,-0.00049884373994587552,0.18208690029016936,0,0.0090820044546901131,0.57866872710622719,0.0019796569018352499,32768,336,336,0,appliances,seasonal_day,independent_noise,0.14999999999999999,0.068164132535457611,0.56558420865640346
known_forecast_pairs,0.0015674562629360727,0.0023263124870868223,-0.00075885622415074964,0.32612016397803151,0,0.0090820044546901131,0.57866872710622719,0.0019796569018352499,32768,336,336,0,appliances,seasonal_day,independent_noise,0.14999999999999999,0.068164482712745667,1
loss_gain,0.003307530168339734,0.00093428112455413396,0.0023732490437856002,7.868529889228669e-08,0,0.00074265163727257801,2,0.0033261289998292348,32768,336,336,0,appliances,seasonal_day,independent_noise,0.14999999999999999,0.068164821714162827,3.4216864261160093e-07
reference_u,0.018343841416718583,0.0053851185255591452,-0.025537466710174136,1,0.038496189601333573,0.0036243736909824728,1.3441676617409595,0.018315390993407368,32768,336,336,0.00022996057818659661,appliances,ridge,persistence,0.050000000000000003,0.062624547630548477,1
