rule,baseline,candidate,adjusted_or_nominal_p,eligible,resulting_choice,status
BY_full16_iid_week_t7,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,hist_gradient_boosting,0.0018930213568370713,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,noise_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,persistence_1h,0.01108719700550149,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,seasonal_24h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,seasonal_168h,0.030344936247309839,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,ridge_lags_calendar,0.00912394306481276,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,hist_gradient_boosting,0.00912394306481276,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,seasonal_24h,noise_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,persistence_1h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,seasonal_24h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,seasonal_168h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,hist_gradient_boosting,1.762558928157085e-15,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_normal_same_hac_se,ridge_lags_calendar,noise_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
