task,baseline,candidate,status,old_bias,joint_bias,improvement,relative_improvement,true_bias_diagnostic,exact_target_diagnostic,validation_event_diagnostic,full_u_mean,radius,old_lower,joint_lower,old_variance_p,joint_variance_p,old_betting_p,joint_betting_p,dual_max_absolute_residual,certificate,old_variance_by,joint_variance_by,old_betting_by,joint_betting_by
metro,seasonal_day,hist_gradient_boosting,certified,0.039432568876783515,0.03870456377076635,0.0007280051060171641,0.018462025852081565,6.528208141962624e-05,0.01440735534211913,True,0.015238815523990625,0.005221391715320949,-0.029415145068113838,-0.028687139962096674,1.0,1.0,1.0,1.0,0.13550061227580085,metro__seasonal_day__hist_gradient_boosting.json,1.0,1.0,1.0,1.0
metro,seasonal_day,extra_trees,certified,0.039216514460032915,0.038615707697757434,0.0006008067622754812,0.01532024889381199,6.764322213999476e-05,0.014228441189936004,True,0.01505868078463154,0.005224145106026669,-0.029381978781428047,-0.028781172019152566,1.0,1.0,1.0,1.0,0.1239908785169182,metro__seasonal_day__extra_trees.json,1.0,1.0,1.0,1.0
metro,seasonal_day,category_copy,certified,0.03839959331875122,0.03614010251624798,0.0022594908025032404,0.0588415294856753,1.55214754814039e-05,2.023694069102045e-31,True,9.253147453251348e-07,0.005283274371987813,-0.04368194237599371,-0.04142245157349047,1.0,1.0,1.0,1.0,0.329431428252889,metro__seasonal_day__category_copy.json,1.0,1.0,1.0,1.0
metro,seasonal_day,independent_noise,certified,0.037405771242357166,0.03727143069584328,0.00013434054651388638,0.0035914390226972036,-1.3991164608003947e-05,-0.0006842245102447061,True,-0.0011877164741679104,0.004535890900481428,-0.043129378617006504,-0.04299503807049262,1.0,1.0,1.0,1.0,0.14020444455414469,metro__seasonal_day__independent_noise.json,1.0,1.0,1.0,1.0
metro,ridge,persistence,certified,0.03638279877402776,0.03563937096839071,0.000743427805637048,0.020433496891056984,7.245005586676111e-05,0.001242136410293828,True,0.0011750838463620093,0.004982152528793056,-0.040189867456458805,-0.03944643965082176,1.0,1.0,1.0,1.0,0.6389816380201,metro__ridge__persistence.json,1.0,1.0,1.0,1.0
metro,ridge,seasonal_day,certified,0.037263175733980934,0.03595595171378635,0.0013072240201945848,0.03508085380394738,8.084950255568306e-05,0.0008771330315130551,True,0.0007709669357239242,0.005111639554638841,-0.04160384835289585,-0.040296624332701265,1.0,1.0,1.0,1.0,0.7144355009003063,metro__ridge__seasonal_day.json,1.0,1.0,1.0,1.0
metro,ridge,seasonal_week,certified,0.03771545633391522,0.03689061968586238,0.000824836648052843,0.021869989872325035,4.246633897126974e-05,0.0009272004208301527,True,0.0011555677205867551,0.004983480672814093,-0.041543369286142565,-0.04071853263808972,1.0,1.0,1.0,1.0,0.543351130216912,metro__ridge__seasonal_week.json,1.0,1.0,1.0,1.0
metro,ridge,ridge_full,certified,0.03615983468442255,0.035671652451544945,0.0004881822328776028,0.01350067656940669,5.870440647663937e-05,0.00029865222363564104,True,0.00032260167794509177,0.005070981954770955,-0.040908214961248406,-0.0404200327283708,1.0,1.0,1.0,1.0,0.630118421464575,metro__ridge__ridge_full.json,1.0,1.0,1.0,1.0
metro,ridge,hist_gradient_boosting,certified,0.037109097956396546,0.03602625802923291,0.0010828399271636327,0.029179904303682544,8.134683763334741e-05,0.004254362983747157,True,0.0043199664143034775,0.005069060735500749,-0.03785819227759382,-0.03677535235043019,1.0,1.0,1.0,1.0,0.6543545230095691,metro__ridge__hist_gradient_boosting.json,1.0,1.0,1.0,1.0
metro,ridge,extra_trees,certified,0.03704775719264477,0.03611969345934162,0.0009280637333031472,0.025050470085876055,7.659221525672239e-05,0.003991274885207836,True,0.004082976401215741,0.00505664832520179,-0.03802142911663082,-0.03709336538332767,1.0,1.0,1.0,1.0,0.6229010648772149,metro__ridge__extra_trees.json,1.0,1.0,1.0,1.0
