design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
eight_rare,0.25,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.012109297435621879,0.010763872685429245,-0.009002471305135889,0.889613678131061,0.013655102040816327,42496
eight_rare,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13313231425533062,0.01891757155969253,-0.1383980275221223,1.0,0.013655102040816327,15616
eight_rare,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13313231425533062,0.009458785779846265,-0.12892706721527172,1.0,0.013655102040816327,34816
eight_rare,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.008961679242623387,0.01891757155969253,-0.014227392509415078,0.8271117645992114,0.013655102040816327,30976
eight_rare,0.25,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.008961679242623387,0.009458785779846265,-0.004756432202564488,0.4778585870671564,0.013655102040816327,50176
eight_rare,0.5,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.19523067233829414,0.024407850450257576,-0.18477445776389953,1.0,0.027310204081632653,7456
eight_rare,0.5,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.19523067233829414,0.012203925225128788,-0.17254219932171486,1.0,0.027310204081632653,26656
eight_rare,0.5,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.036360258935451355,0.024407850450257576,-0.025904044361056734,0.9398435984237599,0.027310204081632653,22816
eight_rare,0.5,32,8192,400,64,1000,10,0.01,0.005440754445529249,0.018309468870314774,1000,0,0,0.036360258935451355,0.012203925225128788,-0.013671785918872071,0.8364252216742681,0.027310204081632653,42016
eight_rare,0.5,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13858197527966915,0.021166251249874132,-0.13203268160052686,1.0,0.027310204081632653,7936
eight_rare,0.5,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13858197527966915,0.010583125624937066,-0.12144486271738894,1.0,0.027310204081632653,27136
eight_rare,0.5,512,8192,100,64,1000,10,0.01,0.005440754445529249,0.018309468870314774,1000,0,0,0.012204976360558704,0.021166251249874132,-0.005655682681416414,0.20728621445446246,0.027310204081632653,23296
eight_rare,0.5,512,8192,400,64,1000,993,0.993,0.9856216845342334,0.9966051315990092,1000,0,0,0.012204976360558704,0.010583125624937066,0.004932136201721508,0.0045423149850459055,0.027310204081632653,42496
eight_rare,0.5,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13306089112290564,0.0188145469363947,-0.12454831822472363,1.0,0.027310204081632653,15616
eight_rare,0.5,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13306089112290564,0.00940727346819735,-0.11513898971822957,1.0,0.027310204081632653,34816
eight_rare,0.5,8192,8192,100,64,1000,397,0.397,0.36712458560070244,0.42766372664732194,1000,0,0,0.008922538687643432,0.0188145469363947,-0.00040996578946141403,0.05961642291310639,0.027310204081632653,30976
eight_rare,0.5,8192,8192,400,64,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.008922538687643432,0.00940727346819735,0.008999362717032645,0.00012426279711103517,0.027310204081632653,50176
two_balanced,0.0,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,420,0,0,0.038275977140860735,0.01892686665156929,-0.05642980681812963,1.0,0.0,7456
two_balanced,0.0,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,536,0,0,0.038275977140860735,0.009463433325784644,-0.04696933015746538,1.0,0.0,26656
two_balanced,0.0,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,420,0,0,0.005910604290001908,0.01892686665156929,-0.024064433967270808,1.0,0.0,22816
two_balanced,0.0,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,536,0,0,0.005910604290001908,0.009463433325784644,-0.014603957306606555,1.0,0.0,42016
two_balanced,0.0,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,52,0,0,0.029571289521726395,0.017719494211028832,-0.04725943045563967,1.0,0.0,7936
