domain,model,cluster,n,spearman_manual,spearman_scipy,status,baseline_spearman_manual,baseline_spearman_scipy,baseline_status
electricity,histgbr_lag,2013-09-28,48,0.99286198978079776,0.99286198978079787,defined,0.98002496878901368,0.9800249687890138,defined
electricity,histgbr_lag,2013-09-29,48,0.99294360310481466,0.99294360310481466,defined,0.99218368343917929,0.99218368343917929,defined
electricity,histgbr_lag,2013-09-30,48,0.99750312109862671,0.99750312109862671,defined,0.99565760191065511,0.99565760191065522,defined
electricity,histgbr_lag,2013-10-01,48,0.99869728057319651,0.99869728057319651,defined,0.99706888128969218,0.99706888128969229,defined
electricity,histgbr_lag,2013-10-02,48,0.99242814919713618,0.99242814919713629,defined,0.98830298296770158,0.98830298296770169,defined
electricity,histgbr_lag,2013-10-03,48,0.99196699956578371,0.99196699956578371,defined,0.97820718140619056,0.97820718140619067,defined
electricity,histgbr_lag,2013-10-04,48,0.99031128757940001,0.99031128757940001,defined,0.9592639838526027,0.9592639838526027,defined
electricity,histgbr_lag,2013-10-05,48,0.98230568823273989,0.98230568823274,defined,0.93793253216618433,0.93793253216618444,defined
electricity,histgbr_lag,2013-10-06,48,0.99413808076422061,0.9941380807642205,defined,0.97484191421902022,0.97484191421902022,defined
electricity,histgbr_lag,2013-10-07,48,0.99533217542336083,0.99533217542336083,defined,0.97424485068581257,0.97424485068581268,defined
electricity,histgbr_lag,2013-10-08,48,0.99826313504125053,0.99826313504125064,defined,0.97858713092732275,0.97858713092732275,defined
electricity,histgbr_lag,2013-10-09,48,0.9963091619626574,0.9963091619626574,defined,0.99055579678679984,0.99055579678679972,defined
electricity,histgbr_lag,2013-10-10,48,0.99891445940078161,0.99891445940078161,defined,0.99717759444203213,0.99717759444203213,defined
electricity,histgbr_lag,2013-10-11,48,0.99185844550586189,0.991858445505862,defined,0.9915327833260964,0.9915327833260964,defined
electricity,histgbr_lag,2013-10-12,48,0.97524967433782028,0.97524967433782017,defined,0.98013460703430311,0.980134607034303,defined
electricity,histgbr_lag,2013-10-13,48,0.9932423267424193,0.99324232674241941,defined,0.99500651324359535,0.99500651324359524,defined
electricity,histgbr_lag,2013-10-14,48,0.99690604282994177,0.99690604282994177,defined,0.99544072948328266,0.99544072948328266,defined
electricity,histgbr_lag,2013-10-15,48,0.9975301973627797,0.99753019736277959,defined,0.9963091619626574,0.9963091619626574,defined
electricity,histgbr_lag,2013-10-16,48,0.99877873405034479,0.99877873405034479,defined,0.9963091619626574,0.9963091619626574,defined
electricity,histgbr_lag,2013-10-17,48,0.99660759392958964,0.99660759392958975,defined,0.99381241858445502,0.99381241858445513,defined
electricity,histgbr_lag,2013-10-18,48,0.99226531368807958,0.99226531368807958,defined,0.99099001302648715,0.99099001302648715,defined
