n,replication,seed,condition,theta,weighted_mean,lower_bound,concentration_radius,bias_upper,envelope_failure_probability,alpha,p_one_sided,reject,effective_clusters,positive_if_bias_below,inference_status,unadjusted_lower_bound,unadjusted_p_one_sided,unadjusted_reject
512,134,202609056811134,noise_free_null,0,0.0028727128443500503,-0.012073133416536153,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.0065175778599805955,conditional_on_independence_bounds_and_bias_envelope,-0.0065175778599805955,0.7555052192734129,False
512,134,202609056811134,independent_noise_null,0,-0.012998618775221817,-0.18119400932901875,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.17563845377246318,conditional_on_independence_bounds_and_bias_envelope,-0.17563845377246318,1.0,False
512,134,202609056811134,shared_signal_alternative,0.25,0.25403852876857697,0.08584313821478004,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0009185997190487659,True,512.0,0.0913986937713356,conditional_on_independence_bounds_and_bias_envelope,0.0913986937713356,0.0006695947810521901,True
512,135,202609056811135,noise_free_null,0,0.0062051786922157,-0.008740667568670502,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9857649728024809,False,512.0,-0.003185112012114945,conditional_on_independence_bounds_and_bias_envelope,-0.003185112012114945,0.27032297262226845,False
512,135,202609056811135,independent_noise_null,0,-0.02351863230944719,-0.19171402286324413,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.18615846730668856,conditional_on_independence_bounds_and_bias_envelope,-0.18615846730668856,1.0,False
512,135,202609056811135,shared_signal_alternative,0.25,0.23062664698222035,0.062431256428423426,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0032242680963250046,True,512.0,0.06798681198497898,conditional_on_independence_bounds_and_bias_envelope,0.06798681198497898,0.002420535822173675,True
512,136,202609056811136,noise_free_null,0,0.0036913034475291482,-0.011254542813357053,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.005698987256801497,conditional_on_independence_bounds_and_bias_envelope,-0.005698987256801497,0.6294440086780979,False
512,136,202609056811136,independent_noise_null,0,0.022594161555540518,-0.1456012289982564,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9676557363641901,False,512.0,-0.14004567344170085,conditional_on_independence_bounds_and_bias_envelope,-0.14004567344170085,0.9438244034182538,False
512,136,202609056811136,shared_signal_alternative,0.25,0.3104884775187622,0.14229308696496526,0.16263983499724136,0.005555555556555556,0.0,0.05,2.670357658115116e-05,True,512.0,0.1478486425215208,conditional_on_independence_bounds_and_bias_envelope,0.1478486425215208,1.8130310095640342e-05,True
512,137,202609056811137,noise_free_null,0,0.006677153332204584,-0.008268692928681617,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9581619235765191,False,512.0,-0.002713137372126061,conditional_on_independence_bounds_and_bias_envelope,-0.002713137372126061,0.2198733728038226,False
512,137,202609056811137,independent_noise_null,0,0.01749701200298677,-0.15069837855081017,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9839800333143631,False,512.0,-0.1451428229942546,conditional_on_independence_bounds_and_bias_envelope,-0.1451428229942546,0.9659223384160688,False
512,137,202609056811137,shared_signal_alternative,0.25,0.2679781391691653,0.09978274861536836,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0004100518186104284,True,512.0,0.10533830417192391,conditional_on_independence_bounds_and_bias_envelope,0.10533830417192391,0.00029370171555213637,True
512,138,202609056811138,noise_free_null,0,0.006881310765859032,-0.00806453549502717,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9420345068508004,False,512.0,-0.0025089799384716126,conditional_on_independence_bounds_and_bias_envelope,-0.0025089799384716126,0.20013858888217445,False
512,138,202609056811138,independent_noise_null,0,0.03288990657729609,-0.13530548397650083,0.16263983499724136,0.005555555556555556,0.0,0.05,0.918862520191023,False,512.0,-0.1297499284199453,conditional_on_independence_bounds_and_bias_envelope,-0.1297499284199453,0.8846963371787264,False
512,138,202609056811138,shared_signal_alternative,0.25,0.26666534759506805,0.09846995704127115,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00044324424702478173,True,512.0,0.1040255125978267,conditional_on_independence_bounds_and_bias_envelope,0.1040255125978267,0.00031800085695002996,True
512,139,202609056811139,noise_free_null,0,0.007056084024604474,-0.007889762236281728,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9263574884559697,False,512.0,-0.0023342066797261713,conditional_on_independence_bounds_and_bias_envelope,-0.0023342066797261713,0.1842426587553226,False
512,139,202609056811139,independent_noise_null,0,-0.030147618885559557,-0.19834300943935648,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.1927874538828009,conditional_on_independence_bounds_and_bias_envelope,-0.1927874538828009,1.0,False
512,139,202609056811139,shared_signal_alternative,0.25,0.22895565470934215,0.060760264155545224,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00350986209316475,True,512.0,0.06631581971210078,conditional_on_independence_bounds_and_bias_envelope,0.06631581971210078,0.002640484485107948,True
512,140,202609056811140,noise_free_null,0,0.004817131193490286,-0.010128715067395915,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004573159510840359,conditional_on_independence_bounds_and_bias_envelope,-0.004573159510840359,0.45459194652869855,False
512,140,202609056811140,independent_noise_null,0,0.04691268003505985,-0.12128271051873707,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8238976165796577,False,512.0,-0.11572715496218151,conditional_on_independence_bounds_and_bias_envelope,-0.11572715496218151,0.7793875766268059,False
512,140,202609056811140,shared_signal_alternative,0.25,0.2382663624267364,0.07007097187293948,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0021697764053611145,True,512.0,0.07562652742949504,conditional_on_independence_bounds_and_bias_envelope,0.07562652742949504,0.0016133189628467891,True
512,141,202609056811141,noise_free_null,0,0.006789940429678862,-0.008155905831207339,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9495508663048294,False,512.0,-0.0026003502746517826,conditional_on_independence_bounds_and_bias_envelope,-0.0026003502746517826,0.2088149416523899,False
512,141,202609056811141,independent_noise_null,0,-0.005943279935625054,-0.17413867048942197,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.16858311493286643,conditional_on_independence_bounds_and_bias_envelope,-0.16858311493286643,1.0,False
512,141,202609056811141,shared_signal_alternative,0.25,0.2035049174297292,0.03530952687593228,0.16263983499724136,0.005555555556555556,0.0,0.05,0.011823170377767823,True,512.0,0.040865082432487834,conditional_on_independence_bounds_and_bias_envelope,0.040865082432487834,0.009184095017592833,True
512,142,202609056811142,noise_free_null,0,0.007950974170406175,-0.006994872090480027,0.009390290704330645,0.005555555556555556,0.0,0.05,0.8228815173031929,False,512.0,-0.0014393165339244708,conditional_on_independence_bounds_and_bias_envelope,-0.0014393165339244708,0.11674545620608566,False
512,142,202609056811142,independent_noise_null,0,0.026243483087000134,-0.14195190746679678,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9526848454653803,False,512.0,-0.13639635191024124,conditional_on_independence_bounds_and_bias_envelope,-0.13639635191024124,0.9249648426299804,False
512,142,202609056811142,shared_signal_alternative,0.25,0.2774367857676729,0.10924139521387599,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00023134897829925027,True,512.0,0.11479695077043155,conditional_on_independence_bounds_and_bias_envelope,0.11479695077043155,0.00016374429100616077,True
512,143,202609056811143,noise_free_null,0,0.006589845274802661,-0.00835600098608354,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9643087874913537,False,512.0,-0.002800445429527984,conditional_on_independence_bounds_and_bias_envelope,-0.002800445429527984,0.22869843698588715,False
512,143,202609056811143,independent_noise_null,0,-0.023800174262939955,-0.19199556481673688,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.1864400092601813,conditional_on_independence_bounds_and_bias_envelope,-0.1864400092601813,1.0,False
512,143,202609056811143,shared_signal_alternative,0.25,0.2444823766894033,0.0762869861356064,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0015567495595287992,True,512.0,0.08184254169216196,conditional_on_independence_bounds_and_bias_envelope,0.08184254169216196,0.0011484892905135036,True
512,144,202609056811144,noise_free_null,0,0.0047134676138054,-0.010232378647080802,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004676823090525245,conditional_on_independence_bounds_and_bias_envelope,-0.004676823090525245,0.4701094575769073,False
512,144,202609056811144,independent_noise_null,0,0.0032410293821657954,-0.16495436117163112,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.15939880561507558,conditional_on_independence_bounds_and_bias_envelope,-0.15939880561507558,0.9988110686372632,False
512,144,202609056811144,shared_signal_alternative,0.25,0.2528038755602863,0.08460848500648933,0.16263983499724136,0.005555555556555556,0.0,0.05,0.000984533160372073,True,512.0,0.09016404056304489,conditional_on_independence_bounds_and_bias_envelope,0.09016404056304489,0.0007187714846482506,True
512,145,202609056811145,noise_free_null,0,0.007031222717133511,-0.007914623543752691,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9286890933481524,False,512.0,-0.0023590679871971347,conditional_on_independence_bounds_and_bias_envelope,-0.0023590679871971347,0.18644798764914217,False
512,145,202609056811145,independent_noise_null,0,0.001545407681593655,-0.16664998287220328,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.16109442731564771,conditional_on_independence_bounds_and_bias_envelope,-0.16109442731564771,0.9997295564994617,False
512,145,202609056811145,shared_signal_alternative,0.25,0.2632294922108667,0.0950341016570698,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0005423927169997345,True,512.0,0.10058965721362535,conditional_on_independence_bounds_and_bias_envelope,0.10058965721362535,0.0003908199551656407,True
512,146,202609056811146,noise_free_null,0,0.005693690652891158,-0.009252155607995045,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9993519444537426,False,512.0,-0.003696600051439487,conditional_on_independence_bounds_and_bias_envelope,-0.003696600051439487,0.33241585491916403,False
512,146,202609056811146,independent_noise_null,0,0.031272109796126206,-0.1369232807576707,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9278374039136646,False,512.0,-0.13136772520111517,conditional_on_independence_bounds_and_bias_envelope,-0.13136772520111517,0.8951579967109603,False
512,146,202609056811146,shared_signal_alternative,0.25,0.26614254245676977,0.09794715190297286,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0004571493764673486,True,512.0,0.10350270745952843,conditional_on_independence_bounds_and_bias_envelope,0.10350270745952843,0.0003281927841071031,True
512,147,202609056811147,noise_free_null,0,0.0064208394437524725,-0.00852500681713373,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9748840078785286,False,512.0,-0.002969451260578173,conditional_on_independence_bounds_and_bias_envelope,-0.002969451260578173,0.24643758757686027,False
512,147,202609056811147,independent_noise_null,0,-0.018795921797333446,-0.18699131235113037,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.18143575679457483,conditional_on_independence_bounds_and_bias_envelope,-0.18143575679457483,1.0,False
512,147,202609056811147,shared_signal_alternative,0.25,0.23065129396663686,0.06245590341283995,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0032202191246011053,True,512.0,0.0680114589693955,conditional_on_independence_bounds_and_bias_envelope,0.0680114589693955,0.0024174211842016547,True
512,148,202609056811148,noise_free_null,0,0.007925332312297183,-0.007020513948589018,0.009390290704330645,0.005555555556555556,0.0,0.05,0.8263045746227284,False,512.0,-0.0014649583920334618,conditional_on_independence_bounds_and_bias_envelope,-0.0014649583920334618,0.11837134424001146,False
512,148,202609056811148,independent_noise_null,0,0.007879312127790004,-0.16031607842600692,0.16263983499724136,0.005555555556555556,0.0,0.05,0.999388639154768,False,512.0,-0.15476052286945136,conditional_on_independence_bounds_and_bias_envelope,-0.15476052286945136,0.9929935204367343,False
512,148,202609056811148,shared_signal_alternative,0.25,0.21943160994029778,0.05123621938650087,0.16263983499724136,0.005555555556555556,0.0,0.05,0.005625072520579555,True,512.0,0.05679177494305643,conditional_on_independence_bounds_and_bias_envelope,0.05679177494305643,0.004282788155839925,True
512,149,202609056811149,noise_free_null,0,0.007683597063876563,-0.007262249197009639,0.009390290704330645,0.005555555556555556,0.0,0.05,0.8573983093759521,False,512.0,-0.001706693640454082,conditional_on_independence_bounds_and_bias_envelope,-0.001706693640454082,0.1345610246898293,False
512,149,202609056811149,independent_noise_null,0,0.021103109467200693,-0.14709228108659622,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9729951241724957,False,512.0,-0.14153672553004068,conditional_on_independence_bounds_and_bias_envelope,-0.14153672553004068,0.9508146225638582,False
512,149,202609056811149,shared_signal_alternative,0.25,0.2721390571846493,0.10394366663085239,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0003195765746559854,True,512.0,0.10949922218740794,conditional_on_independence_bounds_and_bias_envelope,0.10949922218740794,0.00022770298958604945,True
512,150,202609056811150,noise_free_null,0,0.005670789559876586,-0.009275056701009615,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9995489670561732,False,512.0,-0.003719501144454059,conditional_on_independence_bounds_and_bias_envelope,-0.003719501144454059,0.33536810995591176,False
512,150,202609056811150,independent_noise_null,0,-0.014507476291836602,-0.18270286684563353,0.16263983499724136,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.17714731128907799,conditional_on_independence_bounds_and_bias_envelope,-0.17714731128907799,1.0,False
