domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label,display_name,full_evaluation_rows,support_fraction,forecast_pooled_fallback_fraction,outcome_pooled_fallback_fraction,forecast_unseen_entity_fraction,outcome_unseen_entity_fraction
ratings,Alternating least squares,directional_middle,7212,10,2,0,cluster,False,0.14091266706288599,0.016142068294336544,8.7295298528953253,8.7295298528953253,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.2786672460670359e-18,1.2786672460670359e-18,3.7451757711193615e-17,RETAIN,Alternating least squares,12088,0.5966247518199868,0.0,0.0,0.3333333333333333,0.2925679423183583
ratings,Global mean,complementary_middle,7212,10,2,0,cluster,False,0,0,,,True,0,168,True,zero_within_cluster_forecast_rank_variation,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN,Global mean,12088,0.5966247518199868,0.0,0.0,0.0,0.0
ratings,Global mean,directional_middle,7212,10,2,0,cluster,False,0,0,,,True,0,168,True,zero_within_cluster_forecast_rank_variation,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN,Global mean,12088,0.5966247518199868,0.0,0.0,0.3333333333333333,0.2925679423183583
ratings,Item mean,complementary_middle,7212,10,2,0,cluster,False,0.00081240705127314493,0.00041942064141427797,1.93697441435816,1.93697441435816,False,0,168,True,exact_observed_baseline_copy,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.026374235505623393,1,1,ABSTAIN,Item mean,12088,0.5966247518199868,0.0,0.0,0.0,0.0
ratings,Item mean,directional_middle,7212,10,2,0,cluster,False,0.0011479458971433748,0.00059583372419586044,1.9266212208660178,1.9266212208660178,False,0,168,True,exact_observed_baseline_copy,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.027013426026468418,1,1,ABSTAIN,Item mean,12088,0.5966247518199868,0.0,0.0,0.3333333333333333,0.2925679423183583
ratings,Item nearest neighbours,complementary_middle,7212,10,2,0,cluster,False,0.17937406381570289,0.018303190688351584,9.8001527094321954,9.8001527094321954,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,5.6207781797453118e-23,5.6207781797453118e-23,5.4876936170238291e-22,RETAIN,Item nearest neighbors,12088,0.5966247518199868,0.0,0.0,0.0,0.0
ratings,Item nearest neighbours,directional_middle,7212,10,2,0,cluster,False,0.1331414970570414,0.020253085037324987,6.5738872281270302,6.5738872281270302,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.4509181538478966e-11,2.4509181538478966e-11,2.392887155231657e-10,RETAIN,Item nearest neighbors,12088,0.5966247518199868,0.0,0.0,0.3333333333333333,0.2925679423183583
ratings,SVD (32 factors),complementary_middle,7212,10,2,0,cluster,False,0.04939752846707187,0.0065730891720500017,7.5151161309539738,7.5151161309539738,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.8430218970118552e-14,2.8430218970118552e-14,1.6654241763368652e-13,RETAIN,SVD (32 factors),12088,0.5966247518199868,0.0,0.0,0.0,0.0
ratings,SVD (32 factors),directional_middle,7212,10,2,0,cluster,False,0.041139782604449726,0.007109850707983735,5.7863075181386554,5.7863075181386554,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,3.5975222298056953e-09,3.5975222298056953e-09,2.1074056808091933e-08,RETAIN,SVD (32 factors),12088,0.5966247518199868,0.0,0.0,0.3333333333333333,0.2925679423183583
ratings,SVD (40 factors),complementary_middle,7212,10,2,0,cluster,False,0.049309771396270463,0.0060815474416296362,8.1080961497946014,8.1080961497946014,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.5709521584878317e-16,2.5709521584878317e-16,1.8825593136705044e-15,RETAIN,SVD (40 factors),12088,0.5966247518199868,0.0,0.0,0.0,0.0
