design,signal,training_rows,validation_pairs,groups,peers,replications_max,rejections_max,rate_max,wilson_low_max,wilson_high_max,normal_rejections_max,budget_failures_max,coverage_failures_max,mean_bias_budget_max,mean_sampling_radius_max,mean_lower_bound_max,mean_p_max,target_max,total_observations_max,replications_weighted,rejections_weighted,rate_weighted,wilson_low_weighted,wilson_high_weighted,normal_rejections_weighted,budget_failures_weighted,coverage_failures_weighted,mean_bias_budget_weighted,mean_sampling_radius_weighted,mean_lower_bound_weighted,mean_p_weighted,target_weighted,total_observations_weighted
eight_balanced,0.25,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1538229221426744,0.0181894940351843,-0.1588047435479098,1.0,0.0132142857142857,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1365788158250276,0.0181894940351843,-0.141560637230263,1.0,0.0132142857142857,15616
eight_balanced,0.25,8192,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1538229221426744,0.0090947470175921,-0.1496902842135156,1.0,0.0132142857142857,34816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1365788158250276,0.0090947470175921,-0.1324461778958688,1.0,0.0132142857142857,34816
eight_balanced,0.25,8192,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0095793643782445,0.0181894940351843,-0.01456118578348,0.8781385426753503,0.0132142857142857,30976,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0084314981612241,0.0181894940351843,-0.0134133195664595,0.8104535377632145,0.0132142857142857,30976
eight_balanced,0.25,8192,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0095793643782445,0.0090947470175921,-0.0054467264490858,0.6130013955330551,0.0132142857142857,50176,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0084314981612241,0.0090947470175921,-0.0042988602320653,0.4374863124260817,0.0132142857142857,50176
eight_balanced,0.5,32,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2952542000092792,0.0253725400598247,-0.286294570588361,1.0,0.0264285714285714,7456,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2173706646806005,0.0253725400598247,-0.2084110352596823,1.0,0.0264285714285714,7456
eight_balanced,0.5,32,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2952542000092792,0.0126862700299123,-0.2735712406979022,1.0,0.0264285714285714,26656,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2173706646806005,0.0126862700299123,-0.1956877053692235,1.0,0.0264285714285714,26656
eight_balanced,0.5,32,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0872444017331614,0.0253725400598247,-0.0782847723122431,0.9994450818330132,0.0264285714285714,22816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0390878227440752,0.0253725400598247,-0.030128193323157,0.9742641606844654,0.0264285714285714,22816
eight_balanced,0.5,32,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0872444017331614,0.0126862700299123,-0.0655614424217844,0.99868914363374,0.0264285714285714,42016,1000,1,0.001,0.000176546370626,0.0056425585979579,1000,0,0,0.0390878227440752,0.0126862700299123,-0.0174048634326982,0.9242286753365152,0.0264285714285714,42016
eight_balanced,0.5,512,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1634526150508995,0.0189406575248423,-0.1555857055001214,1.0,0.0264285714285714,7936,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1428023149858645,0.0189406575248423,-0.1349354054350864,1.0,0.0264285714285714,7936
eight_balanced,0.5,512,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1634526150508995,0.0094703287624211,-0.1460795025840784,1.0,0.0264285714285714,27136,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1428023149858645,0.0094703287624211,-0.1254292025190434,1.0,0.0264285714285714,27136
eight_balanced,0.5,512,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0157396759923323,0.0189406575248423,-0.0078727664415542,0.3785755632622806,0.0264285714285714,23296,1000,5,0.005,0.0021375355273244,0.0116509553733751,1000,0,0,0.0114402625904293,0.0189406575248423,-0.0035733530396512,0.1450996216073181,0.0264285714285714,23296
eight_balanced,0.5,512,8192,400,64,1000,739,0.739,0.7109019937060769,0.7652688157378277,1000,0,0,0.0157396759923323,0.0094703287624211,0.0016334364744888,0.0842459479871833,0.0264285714285714,42496,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.0114402625904293,0.0094703287624211,0.0059328498763918,0.0008740702073909,0.0264285714285714,42496
eight_balanced,0.5,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1548960912788479,0.0181677563836506,-0.1466415080544444,1.0,0.0264285714285714,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1368430287123926,0.0181677563836506,-0.1285884454879891,1.0,0.0264285714285714,15616
