study,clusters,condition,ladder,beta,replications,rejections,rejection_rate,wilson_95_lower,wilson_95_upper,mean_product_mean,mean_product_empirical_sd,standard_error_mean,statistic_mean,statistic_sd,undefined_results,mean_product_mc95_lower,mean_product_mc95_upper,reported_se_over_empirical_sd,statistic_quantile_0.025,statistic_quantile_0.05,statistic_quantile_0.5,statistic_quantile_0.95,statistic_quantile_0.975,nuisance_r2_q8_mean,nuisance_r2_q12_mean,nuisance_r2_q16_mean,nuisance_r2_q24_mean,nuisance_r2_q32_mean,nuisance_r2_q4_mean,nuisance_r2_q6_mean,nuisance_r2_q48_mean,nuisance_r2_q64_mean
cluster_count_exponent,100,high_overlap_conditional_null,primary,2.0,300,7,0.023333333333333334,0.011347660299125234,0.04737197226827532,-9.402366500719822e-05,0.00031557018346095166,0.00031785871846257754,-0.30030944859897984,0.999549830790812,0,-0.00012987826719273546,-5.8169062821660985e-05,1.007252063476108,-2.442889284055892,-2.2080535436635156,-0.2768776563087535,1.2402878026140034,1.5805187417133404,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
cluster_count_exponent,100,high_overlap_shared_noise_alternative,primary,0.5,300,221,0.7366666666666667,0.6840604965627417,0.7832884970576399,0.0012688549372497468,0.0005641978924350902,0.0005423217001535238,2.3537979576823616,1.0679903280522238,0,0.0012047516345697526,0.001332958239929741,0.9612260297762752,0.3732685248584456,0.6667926251122743,2.3519813005155203,4.146879391827094,4.698990748239172,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
cluster_count_exponent,100,high_overlap_shared_noise_alternative,primary,1.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.010233094547652609,0.0004116297464134084,0.00040572353587244557,25.351495623457748,2.0389572306712678,0,0.010186325804663263,0.010279863290641955,0.985651643030115,21.60343501709975,22.537129807721715,25.1340473167474,28.475339613100463,29.24119231680065,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
cluster_count_exponent,100,high_overlap_shared_noise_alternative,primary,2.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.014665778701402026,0.00037775490148537165,0.0003783945164168772,38.96522829499529,2.9549504995610962,0,0.014622858766546802,0.01470869863625725,1.0016932008796988,33.930836854309185,34.65520047863917,38.73469335535563,43.61253035496031,44.70938031642134,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
cluster_count_exponent,100,independent_forecast_null,primary,0.5,300,11,0.03666666666666667,0.02059530516285303,0.06445384817189295,-0.0006033393053663356,0.009283716580965504,0.008696923337333419,-0.07190977291416241,1.0784674823866383,0,-0.00165814100165835,0.0004514623909256789,0.9367932833241384,-2.3754126245929266,-1.7883448808502378,-0.008687625810614195,1.544205216921127,1.8381647266653938,-0.013675714824427905,-0.01423210813772949,-0.015003984947778113,-0.016171216412574487,-0.017560877302084506,,,,
cluster_count_exponent,100,independent_forecast_null,primary,1.0,300,12,0.04,0.023027321487942308,0.06860421203864003,-0.0006055575979142321,0.009150396318858247,0.008588968508187455,-0.072566023454538,1.0749473130065978,0,-0.0016452116496832375,0.00043409645385477334,0.9386444268524485,-2.4133902657859,-1.855035707713665,-0.021264243742872932,1.534165007306599,1.8406471083219105,-0.013675714824427905,-0.01423210813772949,-0.015003984947778113,-0.016171216412574487,-0.017560877302084506,,,,
cluster_count_exponent,100,independent_forecast_null,primary,2.0,300,11,0.03666666666666667,0.02059530516285303,0.06445384817189295,-0.0006064873112186362,0.009111853267286283,0.008562499996667142,-0.07268706427267263,1.0732180597911798,0,-0.0016417621603457026,0.00042878753790843006,0.9397100398234628,-2.422162786743978,-1.9156456027233897,-0.015036371733442149,1.5043965483347659,1.8241768484571421,-0.013675714824427905,-0.01423210813772949,-0.015003984947778113,-0.016171216412574487,-0.017560877302084506,,,,
ladder,100,high_overlap_conditional_null,coarse,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.018641719068306428,0.00039086361879968204,0.00039533241488323565,-47.36096709394472,3.316504699517004,0,-0.018686128395598262,-0.018597309741014593,1.011433133882547,-53.92266889261356,-53.22822890606432,-47.27388234111196,-42.17913840554145,-41.01960170554008,0.9589922614106778,0.9668943864935602,0.9697354065397307,,,0.9148481090219199,0.9475137617872194,,
ladder,100,high_overlap_conditional_null,fine,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.0011698352605425393,0.0003168598802298173,0.00031771438365162916,-3.706448292849763,1.054761503108967,0,-0.0012058363961048376,-0.001133834124980241,1.002696786419259,-5.877681175007197,-5.5956836547727935,-3.656753200785592,-1.9912696479190217,-1.701657603112825,,,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,0.9726731407546493,0.9727801380514309
ladder,100,high_overlap_shared_noise_alternative,coarse,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.003921019736490831,0.0004870511930279074,0.0004853915875507004,-8.136135426243273,1.2801426319220177,0,-0.003976357749032082,-0.0038656817239495806,0.9965925440673093,-11.05202295437922,-10.151896930200683,-8.029187985620613,-6.233198782236879,-5.878341580565839,0.9589922614106778,0.9668943864935602,0.9697354065397307,,,0.9148481090219199,0.9475137617872194,,
ladder,100,high_overlap_shared_noise_alternative,fine,1.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.013700737683390059,0.00038157023025772485,0.00037880568852086734,36.34504041228553,2.6634440568164206,0,0.013657384256707948,0.01374409111007217,0.9927548285541294,31.79506268279383,32.308115472669414,36.238122434096695,40.835697528191574,41.99442774061574,,,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,0.9726731407546493,0.9727801380514309
ladder,100,independent_forecast_null,coarse,1.0,300,11,0.03666666666666667,0.02059530516285303,0.06445384817189295,-0.0006727730241330956,0.009165134044249906,0.00859339401889891,-0.07919907728674686,1.0738179291279952,0,-0.0017141015537480188,0.00036855550548182774,0.9376179308899798,-2.3052248222634564,-1.9799250243841466,-0.014514136705034705,1.5736352923726948,1.7870057756960405,-0.013675714824427905,-0.01423210813772949,-0.015003984947778113,,,-0.013002266989641959,-0.013316030993197975,,
ladder,100,independent_forecast_null,fine,1.0,300,13,0.043333333333333335,0.025496448084407246,0.07271746563401146,-0.0006116936596001365,0.009210027782565371,0.008632893644496367,-0.07182104373551963,1.075626268286735,0,-0.0016581229471836017,0.00043473562798332854,0.93733633038963,-2.4726949754732153,-1.7482487524686166,-0.026591117292374705,1.5325933643261336,1.8450392532945905,,,-0.015003984947778113,-0.016171216412574487,-0.017560877302084506,,,-0.020035058620764032,-0.022728087236858485
