model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain
SVD (32 factors),contiguous,0,12088,279,0,0.0466996150005243,0.0046349535020484,10.075530418996635,3.5438661387809415e-24,computed,,3.5438661387809415e-24,10.075530418996635,True,False,no_exact_sample_redundancy_detected,False,False,3.5438661387809415e-24,True,NOMINAL_POSITIVE,True,2.0759742833604864e-23,True,2.0759742833604864e-23,10,extrapolated_beta_2,2.0,0.0553521158255846,0.0510947976762951,0.0484135687074066,0.0480613814608529,0.0469734392133665,True,2.0759742833604867e-23,ratings
Croston SBA,contiguous,2,112000,28,0,-0.016465604312385487,0.0012517928134062977,-13.153617863950144,1.0,computed,0.9543879621329855,1.0,-13.153617863950144,False,False,no_exact_sample_redundancy_detected,False,False,1.0,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,retail
Eight week mean,contiguous,2,112000,28,0,0.026260176381133014,0.006834324177180848,3.8423954878835307,6.091965046598257e-05,computed,0.8347695078086264,6.091965046598257e-05,3.8423954878835307,True,False,no_exact_sample_redundancy_detected,False,False,6.091965046598257e-05,True,NOMINAL_POSITIVE,True,0.0002549024603681504,True,0.0002549024603681504,10,local_spline_GCM,,,,,,,,,retail
Exponential smoothing,contiguous,2,112000,28,0,0.027887986918709615,0.004966489890747071,5.615230783146654,9.815003374685421e-09,computed,0.8995067661533798,9.815003374685421e-09,5.615230783146654,True,False,no_exact_sample_redundancy_detected,False,False,9.815003374685421e-09,True,NOMINAL_POSITIVE,True,4.791305549507479e-08,True,4.791305549507479e-08,10,local_spline_GCM,,,,,,,,,retail
Four week mean,contiguous,2,112000,28,0,0.046195730157099595,0.005776028817073581,7.997835817672497,6.331252861906582e-16,computed,0.8527268645772162,6.331252861906582e-16,7.997835817672497,True,False,no_exact_sample_redundancy_detected,False,False,6.331252861906582e-16,True,NOMINAL_POSITIVE,True,9.272019320185015e-15,True,9.272019320185015e-15,10,local_spline_GCM,,,,,,,,,retail
Last week,contiguous,2,112000,28,0,-7.594704585574928e-06,1.5134535249539196e-05,-0.5018128710497514,0.6921004207847414,computed,0.9999939328372871,0.6921004207847414,-0.5018128710497514,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,retail
Past price and calendar,contiguous,2,112000,28,0,0.009228165347806514,0.0013650028584407483,6.76054653713173,6.873608164745481e-12,computed,0.728209341103623,6.873608164745481e-12,6.76054653713173,True,False,no_exact_sample_redundancy_detected,False,False,6.873608164745481e-12,True,NOMINAL_POSITIVE,True,4.026516020951301e-11,True,4.026516020951301e-11,10,local_spline_GCM,,,,,,,,,retail
Past price calendar and history,contiguous,2,112000,28,0,0.03310402405686821,0.004205780612512072,7.871077240307,1.7580023245873198e-15,computed,0.9250391673105561,1.7580023245873198e-15,7.871077240307,True,False,no_exact_sample_redundancy_detected,False,False,1.7580023245873198e-15,True,NOMINAL_POSITIVE,True,1.2872832497796634e-14,True,1.2872832497796634e-14,10,local_spline_GCM,,,,,,,,,retail
Ridge with history,contiguous,2,112000,28,0,0.021860251389283655,0.0027741929360548525,7.8798597982052625,1.6387431010409125e-15,computed,0.9573942221623122,1.6387431010409125e-15,7.8798597982052625,True,False,no_exact_sample_redundancy_detected,False,False,1.6387431010409125e-15,True,NOMINAL_POSITIVE,True,1.2872832497796634e-14,True,1.2872832497796634e-14,10,local_spline_GCM,,,,,,,,,retail
Theta,contiguous,2,112000,28,0,0.045483323780481866,0.004751120154685577,9.573179018768027,5.18339945088651e-22,computed,0.8931808510242741,5.18339945088651e-22,9.573179018768027,True,False,no_exact_sample_redundancy_detected,False,False,5.18339945088651e-22,True,NOMINAL_POSITIVE,True,1.5182012439283066e-20,True,1.5182012439283066e-20,10,local_spline_GCM,,,,,,,,,retail
Training series mean,contiguous,2,112000,28,0,8.546678145482065e-20,4.898200800265176e-19,,1.0,undefined_rank_or_scale,1.0,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,retail
Last week,contiguous,2,112000,28,0,0.0327829233023012,0.018542463410052,1.7679918022396806,0.0385311370723777,computed,,0.0385311370723777,1.7679918022396806,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.14107059659286697,False,1.0,10,extrapolated_beta_1,1.0,0.0081460797708313,0.0200848634569432,0.0156311220897766,0.0364679090153277,0.0189449586795644,False,0.1410705965928672,retail
Last week,contiguous,2,112000,28,0,0.0268792631447879,0.0139246188550576,1.9303410329989004,0.0267822980078782,computed,,0.0267822980078782,1.9303410329989004,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.09805562579174057,False,1.0,10,extrapolated_beta_2,2.0,0.0081460797708313,0.0200848634569432,0.0156311220897766,0.0364679090153277,0.0189449586795644,False,0.0980556257917407,retail
Four week mean,contiguous,2,112000,28,0,0.0638133857440494,0.0120624936820742,5.29023164081578,6.10807714135647e-08,computed,,6.10807714135647e-08,5.29023164081578,True,False,no_exact_sample_redundancy_detected,False,False,6.10807714135647e-08,True,NOMINAL_POSITIVE,True,5.963454679940754e-07,True,5.963454679940754e-07,10,extrapolated_beta_1,1.0,0.0519898910289841,0.0577725506057945,0.0551281905490704,0.0663343862452425,0.0567539277267438,True,5.963454679940754e-07,retail
Four week mean,contiguous,2,112000,28,0,0.0609716547458963,0.0100982536103274,6.037841501974247,7.809468213229206e-10,computed,,7.809468213229206e-10,6.037841501974247,True,False,no_exact_sample_redundancy_detected,False,False,7.809468213229206e-10,True,NOMINAL_POSITIVE,True,7.62456149230751e-09,True,7.62456149230751e-09,10,extrapolated_beta_2,2.0,0.0519898910289841,0.0577725506057945,0.0551281905490704,0.0663343862452425,0.0567539277267438,True,7.624561492307511e-09,retail
Past price and calendar,contiguous,2,112000,28,0,0.010256953421495,0.0014129635499237,7.259177649733696,1.9472535744706814e-13,computed,,1.9472535744706814e-13,7.259177649733696,True,False,no_exact_sample_redundancy_detected,False,False,1.9472535744706814e-13,True,NOMINAL_POSITIVE,True,5.703443902050832e-12,True,5.703443902050832e-12,10,extrapolated_beta_1,1.0,0.0099135933415705,0.009298401528344,0.0101558688365725,0.0101805859514732,0.010132396822894,True,5.7034439020508316e-12,retail
Past price and calendar,contiguous,2,112000,28,0,0.0100729131023285,0.0013123186073075,7.675661265670232,8.228373655658398e-15,computed,,8.228373655658398e-15,7.675661265670232,True,False,no_exact_sample_redundancy_detected,False,False,8.228373655658398e-15,True,NOMINAL_POSITIVE,True,2.4100645219212154e-13,True,2.4100645219212154e-13,10,extrapolated_beta_2,2.0,0.0099135933415705,0.009298401528344,0.0101558688365725,0.0101805859514732,0.010132396822894,True,2.410064521921216e-13,retail
Past price calendar and history,contiguous,2,112000,28,0,0.056507756353804,0.0140510177156217,4.021613060168551,2.8900476383469857e-05,computed,,2.8900476383469857e-05,4.021613060168551,True,False,no_exact_sample_redundancy_detected,False,False,2.8900476383469857e-05,True,NOMINAL_POSITIVE,True,0.00021162144462935615,True,0.00021162144462935615,10,extrapolated_beta_1,1.0,0.0395919028389557,0.0480514440716234,0.0444506628304394,0.059687961780139,0.0465920720113109,True,0.0002116214446293,retail
Past price calendar and history,contiguous,2,112000,28,0,0.0524902748297118,0.0111428830061684,4.710654756103474,1.2346110906508275e-06,computed,,1.2346110906508275e-06,4.710654756103474,True,False,no_exact_sample_redundancy_detected,False,False,1.2346110906508275e-06,True,NOMINAL_POSITIVE,True,9.040341726283489e-06,True,9.040341726283489e-06,10,extrapolated_beta_2,2.0,0.0395919028389557,0.0480514440716234,0.0444506628304394,0.059687961780139,0.0465920720113109,True,9.040341726283492e-06,retail
Training series mean,contiguous,2,112000,28,0,1.0758967053258337e-13,6.03012773634013e-13,,1.0,undefined_rank_or_scale,,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,2.720256409108477e-15,-2.572312389691881e-15,3.5786728657862123e-13,-1.2228145277780517e-12,1.0001076631809265e-12,False,1.0,retail
Training series mean,contiguous,2,112000,28,0,4.8295564935965014e-14,4.1328553776151544e-13,,1.0,undefined_rank_or_scale,,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,2.720256409108477e-15,-2.572312389691881e-15,3.5786728657862123e-13,-1.2228145277780517e-12,1.0001076631809265e-12,False,1.0,retail
Eight week mean,contiguous,2,112000,28,0,0.0379051265837505,0.010396578570597,3.6459231588891625,0.0001332167940309,computed,,0.0001332167940309,3.6459231588891625,True,False,no_exact_sample_redundancy_detected,False,False,0.0001332167940309,True,NOMINAL_POSITIVE,True,0.0006503129343532227,True,0.0006503129343532227,10,extrapolated_beta_1,1.0,0.0301510164880122,0.033961471563132,0.0320771294894613,0.0395476261709311,0.0333387244848983,True,0.0006503129343533,retail
Eight week mean,contiguous,2,112000,28,0,0.0360286850812914,0.0093808411536817,3.8406667900086138,6.13502857158037e-05,computed,,6.13502857158037e-05,3.8406667900086138,True,False,no_exact_sample_redundancy_detected,False,False,6.13502857158037e-05,True,NOMINAL_POSITIVE,True,0.0002994883987224518,True,0.0002994883987224518,10,extrapolated_beta_2,2.0,0.0301510164880122,0.033961471563132,0.0320771294894613,0.0395476261709311,0.0333387244848983,True,0.0002994883987224,retail
Exponential smoothing,contiguous,2,112000,28,0,0.044651363961147,0.0116005924706598,3.849058922988565,5.928624264356402e-05,computed,,5.928624264356402e-05,3.849058922988565,True,False,no_exact_sample_redundancy_detected,False,False,5.928624264356402e-05,True,NOMINAL_POSITIVE,True,0.0003472950452001159,True,0.0003472950452001159,10,extrapolated_beta_1,1.0,0.0319693985727678,0.0381165899627807,0.0356808786520847,0.0465276528162174,0.037603817781538,True,0.0003472950452001,retail
Exponential smoothing,contiguous,2,112000,28,0,0.0415957938786514,0.0096967749942359,4.289652374462342,8.947650048121137e-06,computed,,8.947650048121137e-06,4.289652374462342,True,False,no_exact_sample_redundancy_detected,False,False,8.947650048121137e-06,True,NOMINAL_POSITIVE,True,5.2414765877128654e-05,True,5.2414765877128654e-05,10,extrapolated_beta_2,2.0,0.0319693985727678,0.0381165899627807,0.0356808786520847,0.0465276528162174,0.037603817781538,True,5.2414765877128654e-05,retail
Croston SBA,contiguous,2,112000,28,0,-0.0160856001738952,0.0021134404601986,-7.611096918426246,0.9999999999999865,computed,,0.9999999999999865,-7.611096918426246,False,False,no_exact_sample_redundancy_detected,False,False,0.9999999999999865,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.0172064358884369,-0.0151368029374212,-0.0171324590624744,-0.0158807850355223,-0.0166786755550549,False,1.0,retail
Croston SBA,contiguous,2,112000,28,0,-0.0161649667021301,0.0018816191427957,-8.590987588546547,1.0,computed,,1.0,-8.590987588546547,False,False,no_exact_sample_redundancy_detected,False,False,1.0,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0172064358884369,-0.0151368029374212,-0.0171324590624744,-0.0158807850355223,-0.0166786755550549,False,1.0,retail
Theta,contiguous,2,112000,28,0,0.0629428166499419,0.0114958024080156,5.475286927866319,2.184016309079593e-08,computed,,2.184016309079593e-08,5.475286927866319,True,False,no_exact_sample_redundancy_detected,False,False,2.184016309079593e-08,True,NOMINAL_POSITIVE,True,3.198457217721523e-07,True,3.198457217721523e-07,10,extrapolated_beta_1,1.0,0.0512615703166485,0.0571403852105406,0.0542660837594822,0.0654809006741724,0.0559653131015408,True,3.198457217721524e-07,retail
Theta,contiguous,2,112000,28,0,0.0601502913928082,0.0094545310496587,6.362059744357098,9.953298836583149e-11,computed,,9.953298836583149e-11,6.362059744357098,True,False,no_exact_sample_redundancy_detected,False,False,9.953298836583149e-11,True,NOMINAL_POSITIVE,True,1.4576448157305601e-09,True,1.4576448157305601e-09,10,extrapolated_beta_2,2.0,0.0512615703166485,0.0571403852105406,0.0542660837594822,0.0654809006741724,0.0559653131015408,True,1.45764481573056e-09,retail
Ridge with history,contiguous,2,112000,28,0,0.0486505272399362,0.0155646110963649,3.1257142847146544,0.0008868689541006,computed,,0.0008868689541006,3.1257142847146544,True,False,no_exact_sample_redundancy_detected,False,False,0.0008868689541006,True,NOMINAL_POSITIVE,True,0.003710872874272408,True,0.003710872874272408,10,extrapolated_beta_1,1.0,0.0282590439383762,0.0383412054253952,0.0343948036155514,0.0516861179397417,0.0372276371295395,True,0.0037108728742724,retail
Ridge with history,contiguous,2,112000,28,0,0.043785398690706,0.011994271404364,3.650525923131529,0.0001308519466058,computed,,0.0001308519466058,3.650525923131529,True,False,no_exact_sample_redundancy_detected,False,False,0.0001308519466058,True,NOMINAL_POSITIVE,True,0.0005475159965404817,True,0.0005475159965404817,10,extrapolated_beta_2,2.0,0.0282590439383762,0.0383412054253952,0.0343948036155514,0.0516861179397417,0.0372276371295395,True,0.0005475159965406,retail
Elastic net,contiguous,12,27272,132,0,0.01656723131157305,0.01751536191325663,0.9458686262733754,0.17210779868514248,computed,0.2165580792154722,0.17210779868514248,0.9458686262733754,False,False,no_exact_sample_redundancy_detected,False,False,0.17210779868514248,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Exponential twelve-month mean,contiguous,12,27272,132,0,0.019856470938769813,0.015535679856527852,1.2781205021051223,0.10060347051082891,computed,0.6539024611257485,0.10060347051082891,1.2781205021051223,False,False,no_exact_sample_redundancy_detected,False,False,0.10060347051082891,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Last month,contiguous,12,27272,132,0,0.026807815466540565,0.018567188843443237,1.4438273716382972,0.07439377024945268,computed,0.09118884178895914,0.07439377024945268,1.4438273716382972,False,False,no_exact_sample_redundancy_detected,False,False,0.07439377024945268,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
LightGBM,contiguous,12,27272,132,0,-0.0041244099055104495,0.014472719302742212,-0.28497822829528513,0.6121695890372427,computed,0.3338346832086059,0.6121695890372427,-0.28497822829528513,False,False,no_exact_sample_redundancy_detected,False,False,0.6121695890372427,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Ridge,contiguous,12,27272,132,0,0.016426127560275058,0.017442554602807945,0.9417271686585829,0.17316617077128194,computed,0.2070312259921845,0.17316617077128194,0.9417271686585829,False,False,no_exact_sample_redundancy_detected,False,False,0.17316617077128194,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.025320419838259684,0.022807308476281898,-1.1101888618111715,0.866541174310725,computed,0.07694128633127728,0.866541174310725,-1.1101888618111715,False,False,no_exact_sample_redundancy_detected,False,False,0.866541174310725,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Small MLP,contiguous,12,27272,132,0,-0.008917800692554512,0.007937404592660333,-1.1235159539178268,0.8693907856440279,computed,0.06271035523132351,0.8693907856440279,-1.1235159539178268,False,False,no_exact_sample_redundancy_detected,False,False,0.8693907856440279,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Trailing three-month return,contiguous,12,27272,132,0,-0.004750310113025542,0.02282446438803619,-0.2081236182486496,0.5824337768890886,computed,0.23159056624241847,0.5824337768890886,-0.2081236182486496,False,False,no_exact_sample_redundancy_detected,False,False,0.5824337768890886,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Trailing twelve-month return,contiguous,12,27272,132,0,-7.089054979184138e-07,8.966530852705395e-07,-0.7906129020952645,0.7854150422325388,computed,0.9999999879189658,0.7854150422325388,-0.7906129020952645,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Training portfolio mean,contiguous,12,27272,132,0,-0.015466411393901225,0.007330280730162281,-2.10993438904199,0.9825679961721958,computed,0.9627367044886516,0.9825679961721958,-2.10993438904199,False,False,no_exact_sample_redundancy_detected,False,False,0.9825679961721958,False,NOT_POSITIVE,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,portfolios
Last month,contiguous,12,27272,132,0,0.0266382534033629,0.0185592735013212,1.4353069047377591,0.0755998305261924,computed,,0.0755998305261924,1.4353069047377591,False,False,no_exact_sample_redundancy_detected,False,False,0.0755998305261924,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0281376896985269,0.0275646590937591,0.0272550274692357,0.0269475325161636,0.0272243368380875,False,1.0,portfolios
Last month,contiguous,12,27272,132,0,0.0269962107373503,0.018566793093101,1.4540050401801183,0.0729724544139681,computed,,0.0729724544139681,1.4540050401801183,False,False,no_exact_sample_redundancy_detected,False,False,0.0729724544139681,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0281376896985269,0.0275646590937591,0.0272550274692357,0.0269475325161636,0.0272243368380875,False,1.0,portfolios
Trailing three-month return,contiguous,12,27272,132,0,-0.0051454820340061,0.0226641483204055,-0.2270317843522671,0.5898004864688182,computed,,0.5898004864688182,-0.2270317843522671,False,False,no_exact_sample_redundancy_detected,False,False,0.5898004864688182,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.0028119242473014,-0.0039433440308119,-0.004195155869295,-0.004604099017408,-0.0042707260461996,False,1.0,portfolios
Trailing three-month return,contiguous,12,27272,132,0,-0.0046208150310951,0.0226992314055956,-0.2035670260604521,0.5806540685311798,computed,,0.5806540685311798,-0.2035670260604521,False,False,no_exact_sample_redundancy_detected,False,False,0.5806540685311798,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0028119242473014,-0.0039433440308119,-0.004195155869295,-0.004604099017408,-0.0042707260461996,False,1.0,portfolios
Trailing twelve-month return,contiguous,12,27272,132,0,-0.0005357462666813,0.0003851012114311,-1.3911830209268767,0.917915032692986,computed,,0.917915032692986,-1.3911830209268767,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0022043707579705,0.0013180077790393,0.0007523833033913,0.0003802551112157,0.0001805872842311,False,1.0,portfolios
Trailing twelve-month return,contiguous,12,27272,132,0,0.0001756893931891,0.0002043353558539,0.8598090744253166,0.1949471481441638,computed,,0.1949471481441638,0.8598090744253166,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0022043707579705,0.0013180077790393,0.0007523833033913,0.0003802551112157,0.0001805872842311,False,1.0,portfolios
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.0253712406727823,0.0228805354007686,-1.1088569488601234,0.8662540508092178,computed,,0.8662540508092178,-1.1088569488601234,False,False,no_exact_sample_redundancy_detected,False,False,0.8662540508092178,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.024388311602902,-0.0248069777853906,-0.0250478481394846,-0.0250746771445829,-0.0250275900597801,False,1.0,portfolios
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.0251474551578449,0.0228529155183539,-1.100404678678665,0.86442207956318,computed,,0.86442207956318,-1.100404678678665,False,False,no_exact_sample_redundancy_detected,False,False,0.86442207956318,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.024388311602902,-0.0248069777853906,-0.0250478481394846,-0.0250746771445829,-0.0250275900597801,False,1.0,portfolios
Training portfolio mean,contiguous,12,27272,132,0,-0.0154699049551225,0.007331255359836,-2.1101304204834594,0.9825764381630144,computed,,0.9825764381630144,-2.1101304204834594,False,False,no_exact_sample_redundancy_detected,False,False,0.9825764381630144,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.0155216244791106,-0.0155138058223461,-0.0154833983251764,-0.0154739793058091,-0.0154983323662547,False,1.0,portfolios
Training portfolio mean,contiguous,12,27272,132,0,-0.015482773033366,0.0073333780542951,-2.11127435661084,0.9826256315747316,computed,,0.9826256315747316,-2.11127435661084,False,False,no_exact_sample_redundancy_detected,False,False,0.9826256315747316,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0155216244791106,-0.0155138058223461,-0.0154833983251764,-0.0154739793058091,-0.0154983323662547,False,1.0,portfolios
Exponential twelve-month mean,contiguous,12,27272,132,0,0.0192183025794318,0.0154217083967392,1.2461850584268177,0.106348231600366,computed,,0.106348231600366,1.2461850584268177,False,False,no_exact_sample_redundancy_detected,False,False,0.106348231600366,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0223307546688598,0.0211903759090766,0.0205931910606363,0.020130796658734,0.0201759042128389,False,1.0,portfolios
Exponential twelve-month mean,contiguous,12,27272,132,0,0.0199915192628529,0.0154843889051812,1.29107576574517,0.0983387032589169,computed,,0.0983387032589169,1.29107576574517,False,False,no_exact_sample_redundancy_detected,False,False,0.0983387032589169,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0223307546688598,0.0211903759090766,0.0205931910606363,0.020130796658734,0.0201759042128389,False,1.0,portfolios
Ridge,contiguous,12,27272,132,0,0.0158246742450295,0.0173957535255255,0.909686046184163,0.1814940525844526,computed,,0.1814940525844526,0.909686046184163,False,False,no_exact_sample_redundancy_detected,False,False,0.1814940525844526,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0180832404245882,0.0174546940163238,0.0169203306218631,0.0166136536792527,0.0163705920138748,False,1.0,portfolios
Ridge,contiguous,12,27272,132,0,0.0164310049936607,0.0174349066815969,0.942420013696092,0.1729888223105285,computed,,0.1729888223105285,0.942420013696092,False,False,no_exact_sample_redundancy_detected,False,False,0.1729888223105285,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0180832404245882,0.0174546940163238,0.0169203306218631,0.0166136536792527,0.0163705920138748,False,1.0,portfolios
Elastic net,contiguous,12,27272,132,0,0.0160003054465932,0.0174334967750211,0.917790943095168,0.1793641623770294,computed,,0.1793641623770294,0.917790943095168,False,False,no_exact_sample_redundancy_detected,False,False,0.1793641623770294,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0181395637370428,0.0174646416857504,0.016961445640208,0.016799175059078,0.0165101762173829,False,1.0,portfolios
Elastic net,contiguous,12,27272,132,0,0.0165570525494891,0.0174840636524008,0.946979654081484,0.1718245733114992,computed,,0.1718245733114992,0.946979654081484,False,False,no_exact_sample_redundancy_detected,False,False,0.1718245733114992,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0181395637370428,0.0174646416857504,0.016961445640208,0.016799175059078,0.0165101762173829,False,1.0,portfolios
LightGBM,contiguous,12,27272,132,0,-0.0042335863514507,0.0142794994368223,-0.2964800251004361,0.6165682403543867,computed,,0.6165682403543867,-0.2964800251004361,False,False,no_exact_sample_redundancy_detected,False,False,0.6165682403543867,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.0027383249480986,-0.0034402503152629,-0.0034100275279343,-0.0039652333108114,-0.0037000894396417,False,1.0,portfolios
LightGBM,contiguous,12,27272,132,0,-0.0038736416443474,0.0143942573037321,-0.269110212677881,0.606077564166934,computed,,0.606077564166934,-0.269110212677881,False,False,no_exact_sample_redundancy_detected,False,False,0.606077564166934,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0027383249480986,-0.0034402503152629,-0.0034100275279343,-0.0039652333108114,-0.0037000894396417,False,1.0,portfolios
Small MLP,contiguous,12,27272,132,0,-0.0093486393663763,0.0079630593994526,-1.1740009583526314,0.8798026791185469,computed,,0.8798026791185469,-1.1740009583526314,False,False,no_exact_sample_redundancy_detected,False,False,0.8798026791185469,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,-0.0082093755403348,-0.0084533789627483,-0.0088044768398698,-0.0090721139574962,-0.0089739882870197,False,1.0,portfolios
Small MLP,contiguous,12,27272,132,0,-0.0090389845975259,0.0079477504358552,-1.137301009949647,0.8722937636469138,computed,,0.8722937636469138,-1.137301009949647,False,False,no_exact_sample_redundancy_detected,False,False,0.8722937636469138,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0082093755403348,-0.0084533789627483,-0.0088044768398698,-0.0090721139574962,-0.0089739882870197,False,1.0,portfolios
