model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain,policy_decision_role,final_decision
theta,contiguous,14,34992,729,0,0.0173909399021481,0.001882314213336,9.239126910339753,1.242583631339366e-20,computed,,1.242583631339366e-20,9.239126910339753,True,False,no_exact_sample_redundancy_detected,False,False,1.242583631339366e-20,True,NOMINAL_POSITIVE,True,2.0638475865684457e-19,True,2.0638475865684457e-19,11,extrapolated_beta_2,2.0,0.0296321255330761,0.0220288482477805,0.0199785387985934,0.0195566018584288,0.018052221007371,True,2.0638475865684457e-19,electricity,intermediate_nominal_screen,RETAIN
Item mean,contiguous,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,,0.0045030720816899,2.6118208231587663,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10,extrapolated_beta_2,2.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,ratings,intermediate_nominal_screen,ABSTAIN
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings,intermediate_nominal_screen,ABSTAIN
User and item bias,contiguous,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,,0.0045030720816899,2.6118208231587663,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10,extrapolated_beta_2,2.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,ratings,intermediate_nominal_screen,ABSTAIN
SVD (40 factors),contiguous,0,12088,279,0,0.0491417351626482,0.0046278559178764,10.6186830434423,1.2198939842374156e-26,computed,,1.2198939842374156e-26,10.6186830434423,True,False,no_exact_sample_redundancy_detected,False,False,1.2198939842374156e-26,True,NOMINAL_POSITIVE,True,8.932576882595599e-26,True,8.932576882595599e-26,10,extrapolated_beta_2,2.0,0.0576945159720376,0.0534639137744723,0.0507246301655114,0.0504786895553565,0.0495070876826698,True,8.932576882595599e-26,ratings,intermediate_nominal_screen,RETAIN
SVD interaction,contiguous,0,12088,279,0,0.2301325781009396,0.016924449717156,13.597640215602308,2.0678143707877632e-42,computed,,2.0678143707877632e-42,13.597640215602308,True,False,no_exact_sample_redundancy_detected,False,False,2.0678143707877632e-42,True,NOMINAL_POSITIVE,True,6.056562647136698e-41,True,6.056562647136698e-41,10,extrapolated_beta_2,2.0,0.228447084051684,0.2284089979228566,0.2287635793514077,0.2299769388119135,0.2310342993573311,True,6.056562647136697e-41,ratings,intermediate_nominal_screen,RETAIN
Global mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings,intermediate_nominal_screen,ABSTAIN
Slope One,contiguous,0,12088,279,0,0.0294850221657466,0.0041084736779817,7.176636502203645,3.572365726600709e-13,computed,,3.572365726600709e-13,7.176636502203645,True,False,no_exact_sample_redundancy_detected,False,False,3.572365726600709e-13,True,NOMINAL_POSITIVE,True,1.7438909674629517e-12,True,1.7438909674629517e-12,10,extrapolated_beta_2,2.0,0.0383483280658553,0.0341306496428929,0.0310644274264177,0.030873687718722,0.0298392062102191,True,1.7438909674629517e-12,ratings,intermediate_nominal_screen,RETAIN
Item nearest neighbours,contiguous,0,12088,279,0,0.1823544220362798,0.014106708952525,12.92678700964048,1.589126913232089e-38,computed,,1.589126913232089e-38,12.92678700964048,True,False,no_exact_sample_redundancy_detected,False,False,1.589126913232089e-38,True,NOMINAL_POSITIVE,True,2.327251140191676e-37,True,2.327251140191676e-37,10,extrapolated_beta_2,2.0,0.1898173571058913,0.1857393298482842,0.18342289633914,0.1833085573156075,0.1832359727218769,True,2.327251140191676e-37,ratings,intermediate_nominal_screen,RETAIN
Alternating least squares,contiguous,0,12088,279,0,0.189360577086581,0.0148593119676484,12.743562925312736,1.692860926572527e-37,computed,,1.692860926572527e-37,12.743562925312736,True,False,no_exact_sample_redundancy_detected,False,False,1.692860926572527e-37,True,NOMINAL_POSITIVE,True,1.6527786374380712e-36,True,1.6527786374380712e-36,10,extrapolated_beta_2,2.0,0.1943996573941031,0.1912731459412698,0.1900466374394352,0.1902336573989477,0.1899130680836273,True,1.6527786374380712e-36,ratings,intermediate_nominal_screen,RETAIN
SVD (32 factors),contiguous,0,12088,279,0,0.0466996150005243,0.0046349535020484,10.075530418996635,3.5438661387809415e-24,computed,,3.5438661387809415e-24,10.075530418996635,True,False,no_exact_sample_redundancy_detected,False,False,3.5438661387809415e-24,True,NOMINAL_POSITIVE,True,2.0759742833604864e-23,True,2.0759742833604864e-23,10,extrapolated_beta_2,2.0,0.0553521158255846,0.0510947976762951,0.0484135687074066,0.0480613814608529,0.0469734392133665,True,2.0759742833604867e-23,ratings,intermediate_nominal_screen,RETAIN
Last week,contiguous,2,112000,28,0,0.0268792631447879,0.0139246188550576,1.9303410329989004,0.0267822980078782,computed,,0.0267822980078782,1.9303410329989004,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.09805562579174057,False,1.0,10,extrapolated_beta_2,2.0,0.0081460797708313,0.0200848634569432,0.0156311220897766,0.0364679090153277,0.0189449586795644,False,0.0980556257917407,retail,intermediate_nominal_screen,ABSTAIN
Four week mean,contiguous,2,112000,28,0,0.0609716547458963,0.0100982536103274,6.037841501974247,7.809468213229206e-10,computed,,7.809468213229206e-10,6.037841501974247,True,False,no_exact_sample_redundancy_detected,False,False,7.809468213229206e-10,True,NOMINAL_POSITIVE,True,7.62456149230751e-09,True,7.62456149230751e-09,10,extrapolated_beta_2,2.0,0.0519898910289841,0.0577725506057945,0.0551281905490704,0.0663343862452425,0.0567539277267438,True,7.624561492307511e-09,retail,intermediate_nominal_screen,RETAIN
Past price and calendar,contiguous,2,112000,28,0,0.0100729131023285,0.0013123186073075,7.675661265670232,8.228373655658398e-15,computed,,8.228373655658398e-15,7.675661265670232,True,False,no_exact_sample_redundancy_detected,False,False,8.228373655658398e-15,True,NOMINAL_POSITIVE,True,2.4100645219212154e-13,True,2.4100645219212154e-13,10,extrapolated_beta_2,2.0,0.0099135933415705,0.009298401528344,0.0101558688365725,0.0101805859514732,0.010132396822894,True,2.410064521921216e-13,retail,intermediate_nominal_screen,RETAIN
