replication,seed,condition,clusters,reject,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2
3,202609058430003,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.020228246458833633,0.008379043039219356,-2.414147577969503,0.9921139636754301,computed,-0.016144982151876874
4,202609058430004,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0034994791778477615,0.008520399839667663,0.41071771791219813,0.34063976675404395,computed,-0.014051869490165014
5,202609058430005,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.01178035118954144,0.00753645530757905,1.563115643729023,0.059012698350115356,computed,-0.012431929261016217
6,202609058430006,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0003757743372700708,0.008885150468246315,0.04229239995574756,0.48313280191197105,computed,-0.01415692783861644
7,202609058430007,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.000706665453456182,0.008414117901641278,-0.08398568474044536,0.5334660932621493,computed,-0.011632571774077505
8,202609058430008,independent_forecast_null,100,True,contiguous,0,8000,100,0,0.021418030841924517,0.008652588647002026,2.475332148067099,0.006655615797085029,computed,-0.013370436582631262
9,202609058430009,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0005488487732728459,0.008654292731264793,0.06341925219262068,0.47471632853813617,computed,-0.016160684610259324
10,202609058430010,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.006910060453447368,0.009515768641978993,-0.7261694470968436,0.7661325502315539,computed,-0.01351933533657057
11,202609058430011,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.00043172970847963477,0.008124873069292817,-0.0531367942363698,0.5211885423553623,computed,-0.011092066249287935
12,202609058430012,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.019054385446853568,0.008116460677175759,-2.347622468058802,0.9905531695899334,computed,-0.01777646440251801
13,202609058430013,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.010527081308110694,0.007641273257815887,-1.377660627087646,0.9158459535060619,computed,-0.01435784365651993
14,202609058430014,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.010605439498055971,0.008323715636960308,1.2741232354171235,0.10130987249050738,computed,-0.01769608146942292
15,202609058430015,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.010298179543955737,0.009200207912319838,1.119342045538517,0.131497122494587,computed,-0.011597398288306193
16,202609058430016,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.004764258774054053,0.008886199133116963,-0.5361413471254183,0.7040695669579468,computed,-0.014306304687938587
17,202609058430017,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.012260427907923178,0.00824459201395178,1.4870872794160905,0.06849588037969437,computed,-0.009460949291441922
18,202609058430018,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0029790347723641997,0.009541419676232578,0.3122213332450826,0.3774361601676627,computed,-0.01184226724208104
19,202609058430019,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0059524669909985705,0.007942479263636492,0.7494469665474723,0.22679392598507153,computed,-0.013318653331341412
20,202609058430020,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.01251196019813073,0.008194343957110592,-1.5269020026030946,0.9366073092287903,computed,-0.01387520845420731
21,202609058430021,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.007436888168810439,0.008653435338672081,0.85941454205766,0.1950559247638654,computed,-0.012236055650103994
22,202609058430022,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0077028814930309554,0.007414765696634579,1.0388570331395834,0.14943561591648902,computed,-0.012477699043496715
23,202609058430023,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.005256195818019137,0.00901991243298553,-0.5827324663150162,0.7199632931022464,computed,-0.013900185772668161
