design,signal,training_rows,validation_pairs,groups,peers,total_observations,method,level,replications,rejections,rejection_rate,ci_lower,ci_upper,target,allowance_failures,p_min,p_median,p_max,mean,signed_allowance,mean_radius
two_balanced,-0.125,8192,8192,400,64,50176,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,0.0015160662726640226
two_balanced,-0.125,8192,8192,400,64,50176,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,0.0015160662726640226
two_balanced,-0.125,8192,8192,400,64,50176,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,0.0015160662726640226
two_balanced,-0.125,8192,8192,400,64,50176,independent_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,independent_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,independent_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,pooled_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049884490100859736,0.0017302149693182022,0.0014991085307820037
two_balanced,-0.125,8192,8192,400,64,50176,pooled_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049884490100859736,0.0017302149693182022,0.0014991085307820037
two_balanced,-0.125,8192,8192,400,64,50176,pooled_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049884490100859736,0.0017302149693182022,0.0014991085307820037
two_balanced,-0.125,8192,8192,400,64,50176,pooled_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049884490100859736,0.0017302149693182022,0.0014991085307820037
two_balanced,-0.125,8192,8192,400,64,50176,pooled_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049847707554435058,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,pooled_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049847707554435058,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,pooled_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049847707554435058,0.0017302149693182022,
two_balanced,-0.125,8192,8192,400,64,50176,pooled_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049847707554435058,0.0017302149693182022,
two_balanced,0,8192,512,100,64,15616,signed_variance,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.027732310978282021,0.0045278925018485327
two_balanced,0,8192,512,100,64,15616,signed_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.027732310978282021,0.0045278925018485327
two_balanced,0,8192,512,100,64,15616,signed_variance,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.027732310978282021,0.0045278925018485327
two_balanced,0,8192,512,100,64,15616,signed_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.027732310978282021,0.0045278925018485327
two_balanced,0,8192,512,100,64,15616,independent_bernstein,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,0.0045286220583395176
two_balanced,0,8192,512,100,64,15616,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,0.0045286220583395176
two_balanced,0,8192,512,100,64,15616,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,0.0045286220583395176
two_balanced,0,8192,512,100,64,15616,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,0.0045286220583395176
