model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,24,outcome_fit_shift,8,forecast_fit_shift,-1.8677774331147106e-06
Past price and calendar,24,outcome_fit_shift,8,joint_fit_shift,8.2290293514880725e-08
Past price and calendar,24,outcome_fit_shift,12,outcome_fit_shift,1.7328348099004692e-06
Past price and calendar,24,outcome_fit_shift,12,forecast_fit_shift,-1.3084849230527402e-06
Past price and calendar,24,outcome_fit_shift,12,joint_fit_shift,2.5381144075349097e-07
Past price and calendar,24,outcome_fit_shift,16,outcome_fit_shift,1.8307512699321433e-06
Past price and calendar,24,outcome_fit_shift,16,forecast_fit_shift,-2.8054971095896388e-06
Past price and calendar,24,outcome_fit_shift,16,joint_fit_shift,3.7354554571160635e-07
Past price and calendar,24,outcome_fit_shift,24,outcome_fit_shift,1.6980763828803266e-06
Past price and calendar,24,outcome_fit_shift,24,forecast_fit_shift,-2.8925284488169147e-06
Past price and calendar,24,outcome_fit_shift,24,joint_fit_shift,4.2049121673424177e-07
Past price and calendar,24,outcome_fit_shift,32,outcome_fit_shift,1.6124253586434021e-06
Past price and calendar,24,outcome_fit_shift,32,forecast_fit_shift,-3.0059181473509916e-06
Past price and calendar,24,outcome_fit_shift,32,joint_fit_shift,5.2108653589183955e-07
Past price and calendar,24,forecast_fit_shift,8,outcome_fit_shift,-3.8782664582600322e-06
Past price and calendar,24,forecast_fit_shift,8,forecast_fit_shift,4.7943993231625384e-06
Past price and calendar,24,forecast_fit_shift,8,joint_fit_shift,-2.4482651226289256e-07
Past price and calendar,24,forecast_fit_shift,12,outcome_fit_shift,-2.9910129565170465e-06
Past price and calendar,24,forecast_fit_shift,12,forecast_fit_shift,3.4555422243250481e-06
Past price and calendar,24,forecast_fit_shift,12,joint_fit_shift,-6.0851061261722289e-07
Past price and calendar,24,forecast_fit_shift,16,outcome_fit_shift,-3.1287231919063496e-06
Past price and calendar,24,forecast_fit_shift,16,forecast_fit_shift,6.9455501444514809e-06
Past price and calendar,24,forecast_fit_shift,16,joint_fit_shift,-9.0023210740045195e-07
Past price and calendar,24,forecast_fit_shift,24,outcome_fit_shift,-2.8925284488169147e-06
Past price and calendar,24,forecast_fit_shift,24,forecast_fit_shift,7.1069471221938402e-06
Past price and calendar,24,forecast_fit_shift,24,joint_fit_shift,-9.7179148048729971e-07
Past price and calendar,24,forecast_fit_shift,32,outcome_fit_shift,-2.75150128883053e-06
Past price and calendar,24,forecast_fit_shift,32,forecast_fit_shift,7.3729123389790581e-06
Past price and calendar,24,forecast_fit_shift,32,joint_fit_shift,-1.1507577591713944e-06
Past price and calendar,24,joint_fit_shift,8,outcome_fit_shift,5.4139114167030224e-07
Past price and calendar,24,joint_fit_shift,8,forecast_fit_shift,-4.8750886143856396e-07
Past price and calendar,24,joint_fit_shift,8,joint_fit_shift,4.1789525751877618e-07
Past price and calendar,24,joint_fit_shift,12,outcome_fit_shift,4.7213162135377203e-07
Past price and calendar,24,joint_fit_shift,12,forecast_fit_shift,-1.341520991555074e-07
Past price and calendar,24,joint_fit_shift,12,joint_fit_shift,4.3664106028219851e-07
Past price and calendar,24,joint_fit_shift,16,outcome_fit_shift,3.923342146877789e-07
Past price and calendar,24,joint_fit_shift,16,forecast_fit_shift,-9.7483647291448676e-07
Past price and calendar,24,joint_fit_shift,16,joint_fit_shift,5.6276182773638541e-07
Past price and calendar,24,joint_fit_shift,24,outcome_fit_shift,4.2049121673424177e-07
Past price and calendar,24,joint_fit_shift,24,forecast_fit_shift,-9.7179148048729971e-07
Past price and calendar,24,joint_fit_shift,24,joint_fit_shift,5.2743862380252459e-07
Past price and calendar,24,joint_fit_shift,32,outcome_fit_shift,4.1580843542953078e-07
Past price and calendar,24,joint_fit_shift,32,forecast_fit_shift,-1.0677101643936869e-06
Past price and calendar,24,joint_fit_shift,32,joint_fit_shift,5.5122997943152646e-07
Past price and calendar,32,outcome_fit_shift,8,outcome_fit_shift,2.0788731167536696e-06
Past price and calendar,32,outcome_fit_shift,8,forecast_fit_shift,-1.7729103165071256e-06
Past price and calendar,32,outcome_fit_shift,8,joint_fit_shift,9.572205240915346e-08
Past price and calendar,32,outcome_fit_shift,12,outcome_fit_shift,1.6467407003472586e-06
Past price and calendar,32,outcome_fit_shift,12,forecast_fit_shift,-1.2363824895830569e-06
Past price and calendar,32,outcome_fit_shift,12,joint_fit_shift,2.5550015423793193e-07
Past price and calendar,32,outcome_fit_shift,16,outcome_fit_shift,1.7387210619734914e-06
Past price and calendar,32,outcome_fit_shift,16,forecast_fit_shift,-2.6704994600470868e-06
Past price and calendar,32,outcome_fit_shift,16,joint_fit_shift,3.7471435993057806e-07
Past price and calendar,32,outcome_fit_shift,24,outcome_fit_shift,1.6124253586434021e-06
Past price and calendar,32,outcome_fit_shift,24,forecast_fit_shift,-2.75150128883053e-06
Past price and calendar,32,outcome_fit_shift,24,joint_fit_shift,4.1580843542953078e-07
Past price and calendar,32,outcome_fit_shift,32,outcome_fit_shift,1.5413491794227469e-06
Past price and calendar,32,outcome_fit_shift,32,forecast_fit_shift,-2.8639973223396956e-06
Past price and calendar,32,outcome_fit_shift,32,joint_fit_shift,5.0820637796660966e-07
Past price and calendar,32,forecast_fit_shift,8,outcome_fit_shift,-4.0255710507289971e-06
Past price and calendar,32,forecast_fit_shift,8,forecast_fit_shift,4.960171501764993e-06
Past price and calendar,32,forecast_fit_shift,8,joint_fit_shift,-3.1482484380496352e-07
Past price and calendar,32,forecast_fit_shift,12,outcome_fit_shift,-3.1135374049253654e-06
Past price and calendar,32,forecast_fit_shift,12,forecast_fit_shift,3.5534339690380208e-06
Past price and calendar,32,forecast_fit_shift,12,joint_fit_shift,-6.8584222530638551e-07
