domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
electricity,theta,complementary_all,34992,11,2,14,D,True,0.017390939902150002,0.0018823142133362642,9.23912691033971,9.23912691033971,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.242583631339866e-20,1.242583631339866e-20,2.063847586569276e-19,RETAIN
electricity,theta,complementary_middle,21024,11,2,14,D,True,0.019572924050606164,0.0027284932977766564,7.1735283596098194,7.1735283596098194,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.6544551647179072e-13,3.6544551647179072e-13,1.2139606995781775e-11,RETAIN
electricity,theta,directional_middle,21024,11,2,14,D,True,0.019215014903659372,0.0028165458847686821,6.8221913257548321,6.8221913257548321,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,4.4831069789520159e-12,4.4831069789520159e-12,3.7230691301096446e-11,RETAIN
electricity,theta,directional_all,34992,11,2,14,D,True,0.015827974994662822,0.0020152334444913087,7.8541645078037927,7.8541645078037927,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.0122288918242102e-15,2.0122288918242102e-15,2.2281176291467785e-14,RETAIN
ratings,Alternating least squares,complementary_all,12088,10,2,0,cluster,False,0.18936057708685577,0.014859311967617543,12.743562925357759,12.743562925357759,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.6928609255953886e-37,1.6928609255953886e-37,1.6527786364840689e-36,RETAIN
ratings,Alternating least squares,complementary_middle,7212,10,2,0,cluster,False,0.19980945183630677,0.015694050261221715,12.731541476581995,12.731541476581995,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.9748180620920213e-37,1.9748180620920213e-37,5.7841794112306386e-36,RETAIN
ratings,Alternating least squares,directional_middle,7212,10,2,0,cluster,False,0.14091266706288599,0.016142068294336544,8.7295298528953253,8.7295298528953253,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.2786672460670359e-18,1.2786672460670359e-18,3.7451757711193615e-17,RETAIN
ratings,Alternating least squares,directional_all,12088,10,2,0,cluster,False,0.14090901548688486,0.013837795564213044,10.182909180368309,10.182909180368309,False,0,279,False,none,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.181933246875645e-24,1.181933246875645e-24,3.4618449584083873e-23,RETAIN
ratings,Global mean,complementary_all,12088,10,2,0,cluster,False,0,0,,,True,0,279,True,zero_within_cluster_forecast_rank_variation,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN
ratings,Global mean,complementary_middle,7212,10,2,0,cluster,False,0,0,,,True,0,168,True,zero_within_cluster_forecast_rank_variation,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN
ratings,Global mean,directional_middle,7212,10,2,0,cluster,False,0,0,,,True,0,168,True,zero_within_cluster_forecast_rank_variation,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN
ratings,Global mean,directional_all,12088,10,2,0,cluster,False,0,0,,,True,0,279,True,zero_within_cluster_forecast_rank_variation,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,zero_within_cluster_forecast_rank_variation,,1,1,ABSTAIN
ratings,Item mean,complementary_all,12088,10,2,0,cluster,False,0.00088247640775554058,0.00033787785132163693,2.6118208231278306,2.6118208231278306,False,0,279,True,exact_observed_baseline_copy,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.004503072082097357,1,1,ABSTAIN
ratings,Item mean,complementary_middle,7212,10,2,0,cluster,False,0.00081240705127314493,0.00041942064141427797,1.93697441435816,1.93697441435816,False,0,168,True,exact_observed_baseline_copy,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.026374235505623393,1,1,ABSTAIN
ratings,Item mean,directional_middle,7212,10,2,0,cluster,False,0.0011479458971433748,0.00059583372419586044,1.9266212208660178,1.9266212208660178,False,0,168,True,exact_observed_baseline_copy,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.027013426026468418,1,1,ABSTAIN
