baseline,method,week,start,mse,mae
seasonal_24h,gated__seasonal_24h,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,gated__seasonal_24h,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,gated__seasonal_24h,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,gated__seasonal_24h,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,gated__seasonal_24h,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,direct__seasonal_168h,0,2018-09-08 00:00:00,262748.03571428574,243.3095238095238
seasonal_24h,direct__seasonal_168h,1,2018-09-15 00:00:00,976527.0833333334,678.1071428571429
seasonal_24h,direct__seasonal_168h,2,2018-09-22 00:00:00,879626.6726190476,675.827380952381
seasonal_24h,direct__seasonal_168h,3,2018-09-29 00:00:00,732606.0297619047,583.0297619047619
seasonal_24h,direct__seasonal_168h,4,2018-10-06 00:00:00,779444.2678571428,624.7083333333334
seasonal_24h,direct__seasonal_168h,5,2018-10-13 00:00:00,310022.35714285716,315.6309523809524
seasonal_24h,direct__seasonal_168h,6,2018-10-20 00:00:00,93955.41666666667,145.5595238095238
seasonal_24h,direct__seasonal_168h,7,2018-10-27 00:00:00,174875.85714285713,304.2738095238095
seasonal_24h,direct__seasonal_168h,8,2018-11-03 00:00:00,636555.8154761905,613.8630952380952
seasonal_24h,direct__seasonal_168h,9,2018-11-10 00:00:00,568817.9047619047,577.3095238095239
seasonal_24h,direct__seasonal_168h,10,2018-11-17 00:00:00,42128.42857142857,158.76190476190476
seasonal_24h,direct__seasonal_168h,11,2018-11-24 00:00:00,42217.26190476191,126.3452380952381
seasonal_24h,convex__seasonal_168h,0,2018-09-08 00:00:00,124424.99647474509,227.5848596445761
seasonal_24h,convex__seasonal_168h,1,2018-09-15 00:00:00,723963.915292517,674.8358362929874
seasonal_24h,convex__seasonal_168h,2,2018-09-22 00:00:00,417998.7065498089,474.435411775905
seasonal_24h,convex__seasonal_168h,3,2018-09-29 00:00:00,814350.8229897858,739.4290464424033
seasonal_24h,convex__seasonal_168h,4,2018-10-06 00:00:00,363843.1713788567,498.97599956072764
