baseline,method,comparator,gain,ci_low,ci_high,weekly_se,weekly_blocks,fortnight_low,fortnight_high,bootstrap_low,bootstrap_high
ridge_lags_calendar,augment__persistence_1h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,gated__persistence_1h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__seasonal_24h,baseline,-369886.88278717623,-696105.4174136487,-43668.348160703725,148214.7815181899,12,-713285.5732843226,-26488.19229002978,-649583.431550182,-151876.53410665775
ridge_lags_calendar,convex__seasonal_24h,baseline,-1593.2052901065306,-4242.676199470983,1056.2656192579218,1203.7659123810727,12,-4225.260271547214,1038.8496913341535,-3961.350869901321,355.79960059501303
ridge_lags_calendar,augment__seasonal_24h,baseline,-1114.2627811768168,-2687.954821569881,459.4292592162474,714.9943893005423,12,-2583.339287129749,354.8137247761158,-2553.801209308024,40.78246762070666
ridge_lags_calendar,gated__seasonal_24h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__seasonal_168h,baseline,-404739.2905252714,-647773.3115574439,-161705.2694930988,110420.56322770177,12,-679805.6192540268,-129672.96179651591,-583834.4815126284,-223257.70552063943
ridge_lags_calendar,convex__seasonal_168h,baseline,-74.98154658972274,-169.76832086588144,19.80522768643597,43.06561261530108,12,-176.1157758196069,26.15268264016146,-144.66539598121383,-4.191970714577655
ridge_lags_calendar,augment__seasonal_168h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,gated__seasonal_168h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__ridge_lags_calendar,baseline,-6134.443079383949,-15264.44805997174,2995.5619012038424,4148.144724539491,12,-15247.64643971718,2978.760280949279,-14556.658993398158,-176.76621898810833
ridge_lags_calendar,convex__ridge_lags_calendar,baseline,-428.0691243274278,-1889.3733912762455,1033.23514262139,663.9319035180343,12,-1721.07467260866,864.936423953804,-1781.332468329731,559.2211494949156
ridge_lags_calendar,augment__ridge_lags_calendar,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,gated__ridge_lags_calendar,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__hist_gradient_boosting,baseline,13323.364789182457,3173.89548138815,23472.834096976763,4611.330186075313,12,2323.736763691424,24322.99281467349,1880.9845442742183,22926.14547132621
ridge_lags_calendar,convex__hist_gradient_boosting,baseline,16807.713155218633,11459.852310610637,22155.57399982663,2429.7577928269407,12,13842.877751597825,19772.548558839433,10524.608690604839,23179.21002546149
ridge_lags_calendar,augment__hist_gradient_boosting,baseline,22431.434324374404,15359.195319308776,29503.673329440033,3213.2152153170796,12,15657.997738311069,29204.87091043775,16288.362514740706,29355.72002939013
ridge_lags_calendar,gated__hist_gradient_boosting,baseline,22431.434324374404,15359.195319308776,29503.673329440033,3213.2152153170796,12,15657.997738311069,29204.87091043775,16288.362514740706,29355.72002939013
ridge_lags_calendar,direct__mirror_ridge_control,baseline,-6134.443079383949,-15264.44805997174,2995.5619012038424,4148.144724539491,12,-15247.64643971718,2978.760280949279,-14556.658993398158,-176.76621898810833
ridge_lags_calendar,convex__mirror_ridge_control,baseline,-428.0691243274278,-1889.3733912762455,1033.23514262139,663.9319035180343,12,-1721.07467260866,864.936423953804,-1781.332468329731,559.2211494949156
ridge_lags_calendar,augment__mirror_ridge_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,gated__mirror_ridge_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__exact_baseline_copy,baseline,-6134.443079383949,-15264.44805997174,2995.5619012038424,4148.144724539491,12,-15247.64643971718,2978.760280949279,-14556.658993398158,-176.76621898810833
