signal,lag,n,calendar_gaps,alpha,alpha_sign,standard_error,statistic,p_two_sided,by_reject,by_adjusted_p
iomom_supp,24,467,0,0.3541709693668811,positive,0.14506252274467504,2.4415056533261756,0.014626159328815306,False,0.136344582520696
realestate,6,654,0,0.23638422479036242,positive,0.11330831473528108,2.08620369425333,0.0369601757566278,False,0.30046182141639277
realestate,12,654,0,0.23638422479036242,positive,0.10695906256333208,2.2100439095602185,0.027102115034759195,False,0.23361013663884567
realestate,24,654,0,0.23638422479036242,positive,0.10680842175962008,2.213160918362429,0.026886553436481775,False,0.2333503661327915
retConglomerate,6,587,0,0.9493436935348328,positive,0.17174324332425664,5.527691658544273,3.244716730556642e-08,True,9.72229629978005e-07
retConglomerate,12,587,0,0.9493436935348328,positive,0.17083416227140624,5.557106850950569,2.7428286932173514e-08,True,9.588210018822408e-07
retConglomerate,24,587,0,0.9493436935348328,positive,0.1578450930275396,6.014401051854039,1.8055300929963144e-09,True,1.0328170656802161e-07
roaq,6,702,0,0.7335335515996184,positive,0.186222090104551,3.9390254463785115,8.181325367772861e-05,True,0.001319989318705475
roaq,12,702,0,0.7335335515996184,positive,0.19025341833581683,3.855560431008164,0.00011546480197959817,True,0.0018629292742699266
roaq,24,702,0,0.7335335515996184,positive,0.18012685194743858,4.072316501782117,4.654786855204395e-05,True,0.0008368413166998679
sfe,6,573,0,0.0854240096200086,positive,0.20875473117499266,0.4092075381438914,0.682387362886328,False,1.0
sfe,12,573,0,0.0854240096200086,positive,0.20545470831683968,0.4157802482105833,0.6775708134542812,False,1.0
sfe,24,573,0,0.0854240096200086,positive,0.1854059100949622,0.4607404886729644,0.6449848026707512,False,1.0
sinAlgo,6,738,0,0.1027624523180932,positive,0.12047923962713364,0.8529473844301191,0.393688482894211,False,1.0
sinAlgo,12,738,0,0.1027624523180932,positive,0.12572464181004298,0.8173612653703696,0.4137220046593387,False,1.0
sinAlgo,24,738,0,0.1027624523180932,positive,0.133774742031199,0.7681752979506916,0.44238304694777353,False,1.0
skew1,6,324,0,0.39221607344401666,positive,0.10515465343279136,3.7298974476169806,0.0001915577214200136,True,0.0029398634913455194
skew1,12,324,0,0.39221607344401666,positive,0.09594353437962089,4.087988585996121,4.3512955670575254e-05,True,0.0007605494257459331
skew1,24,324,0,0.39221607344401666,positive,0.09899269173878544,3.962071002968252,7.430243499182774e-05,True,0.0013170008419573576
std_turn,6,738,0,0.7114457859543823,positive,0.16550516653499223,4.298631884727077,1.7185562850187254e-05,True,0.00031805058786480746
std_turn,12,738,0,0.7114457859543823,positive,0.16072624254670598,4.4264444603540145,9.579903345234772e-06,True,0.00020433862686072086
std_turn,24,738,0,0.7114457859543823,positive,0.14914228892894002,4.770248539589976,1.8399875039052854e-06,True,5.262638662305588e-05
tang,6,738,0,0.7643936885424691,positive,0.1464978876787548,5.217779591598315,1.810807607069961e-07,True,4.747581488556759e-06
tang,12,738,0,0.7643936885424691,positive,0.1636584760705838,4.6706636093372635,3.002282478850092e-06,True,6.996794954598179e-05
tang,24,738,0,0.7643936885424691,positive,0.17462266279663735,4.377402545010262,1.201020335993833e-05,True,0.0002651654034206323
zerotrade12M,6,738,0,0.7231390274384242,positive,0.11696132341550745,6.182719264123391,6.300670636736189e-10,True,2.9367323582813253e-08
zerotrade12M,12,738,0,0.7231390274384242,positive,0.11575123730416197,6.247354622553334,4.174625277669636e-10,True,2.1014489521738976e-08
zerotrade12M,24,738,0,0.7231390274384242,positive,0.11625667675566756,6.2201935202243845,4.965420717657291e-10,True,3.675771325068444e-08
zerotrade1M,6,738,0,0.7195598526135649,positive,0.1165883012726292,6.1718014994570645,6.751623336757679e-10,True,3.034530655617826e-08
zerotrade1M,12,738,0,0.7195598526135649,positive,0.11663991484378801,6.169070455660464,6.869261664865465e-10,True,3.324896010394366e-08
zerotrade1M,24,738,0,0.7195598526135649,positive,0.11562862763850086,6.2230251046754885,4.876593119823803e-10,True,3.675771325068444e-08
zerotrade6M,6,738,0,0.7966334581361637,positive,0.11597548792100468,6.868981303004141,6.466197960534598e-12,True,4.0687439066087107e-10
zerotrade6M,12,738,0,0.7966334581361637,positive,0.11265771714432299,7.0712728637632205,1.535189265746362e-12,True,1.3799877915938177e-10
zerotrade6M,24,738,0,0.7966334581361637,positive,0.10930919402609825,7.287890696055837,3.1484523482459285e-13,True,4.402465589467908e-11
